Control_ID,Type,Summary,Source_Spans,Evidence_Basis,Implementation_Status,Acceptance_Status,Notes
F12-001,Finding,"The preserved meeting media runs 53:44.448; the existing Hebrew ASR contains 1,064 machine segments and has no diarization or human review.","Full media; S12-0001--S12-1064","Media and ASR technical audit","Evidence captured; human review pending",Pending,"Technical fact; not a supervisor statement."
F12-002,Finding,"The opening discussion treated both the literature and methodology chapters as work that needed development.","S12-0018--S12-0054","Machine Hebrew paraphrase","Evidence captured; human review pending",Pending,"Superseded for immediate sequencing by D12-001."
F12-003,Finding,"The literature review should establish the problem and support the path to the gap rather than organize itself around the proposed solution.","S12-0181--S12-0198; S12-0280--S12-0286","Machine Hebrew paraphrase","Evidence captured; human review pending",Pending,"Use supervisor-side statement until attribution review."
F12-004,Finding,"The discussion exposed two framing positions: a broad interaction/HCI starting point and a narrower human-involvement-with-agentic-AI organizing frame.","S12-0257--S12-0301","Machine Hebrew paraphrase","Evidence captured; human review pending",Pending,"Do not attribute either position by name until audiovisual review."
F12-005,Finding,"Guideline-operationalization scenarios, including software/education and medical contexts, were discussed as a separate application layer around the domain-neutral problem.","S12-0402--S12-0404; S12-0522--S12-0525","Machine Hebrew paraphrase","Evidence captured; human review pending",Pending,"Does not establish medical readiness."
F12-006,Finding,"Exhaustive or adequate Google Scholar coverage had not been demonstrated during the call.","S12-0143--S12-0150","Machine Hebrew paraphrase","Evidence captured; human review pending",Pending,"Broad-search execution was later deferred for the immediate tranche."
F12-007,Finding,"The call requested an AI-assisted draft that divides the literature review into sections related to the research questions and proposes a Scholar query for each section.","S12-0330--S12-0347","Machine Hebrew paraphrase","Evidence captured; human review pending",Pending,"A drafting request, not evidence that searches were run."
F12-008,Finding,"Each sub-question was discussed as leading to one study and ultimately one publication.","S12-0355--S12-0373","Machine Hebrew paraphrase","Evidence captured; human review pending",Pending,"Working architecture; supervisor confirmation still required."
F12-009,Finding,"For each sub-question, the methodology chapter should identify the research artifact and the method used to produce and evaluate it.","S12-0374--S12-0401","Machine Hebrew paraphrase","Evidence captured; human review pending",Pending,"Further methodology writing is deferred by D12-001."
F12-010,Finding,"The future methodology discussion included evaluation in two guideline contexts: software/education and medicine.","S12-0402--S12-0404","Machine Hebrew paraphrase","Evidence captured; human review pending",Pending,"Conditional design intent only."
F12-011,Finding,"Several possible medical routes were reported, including Soroka, Maayanei HaYeshua, MIMIC, and a scheduled Clalit discussion.","S12-0405--S12-0487","Machine Hebrew paraphrase","Evidence captured; human review pending",Pending,"Reported meetings and options do not pass G1--G6."
F12-012,Finding,"An adjacent student effort was described as developing a correction interface and exploring local-model use.","S12-0511--S12-0521","Machine Hebrew paraphrase","Evidence captured; human review pending",Pending,"Relationship and scope require human confirmation."
F12-013,Finding,"Privacy constraints were discussed as relevant to student artifacts and medical material, supporting local rather than ordinary hosted-model processing.","S12-0511--S12-0522","Machine Hebrew paraphrase","Evidence captured; human review pending",Pending,"No restricted rows were inspected by this pipeline."
F12-014,Finding,"The closing instruction narrowed the immediate week to literature; methodology should resume only afterward if the literature work progresses well.","S12-0903--S12-0915","Machine Hebrew paraphrase","Evidence captured; human review pending",Pending,"Latest explicit instruction controls current sequencing."
F12-015,Finding,"For the proposal-stage tranche, the work was narrowed to the papers reachable from the selected ACL survey/taxonomy corpus rather than a broad search for additional cornerstone papers.","S12-0916--S12-0949","Machine Hebrew paraphrase","Evidence captured; human review pending",Pending,"Broader searches remain deferred, not completed."
F12-016,Finding,"The requested next-meeting artifact was a derived branch-classification slide showing high, low, no, and missing relevance categories.","S12-0950--S12-0972","Machine Hebrew paraphrase","Evidence captured; human review pending",Pending,"Do not reuse the source taxonomy graphic as if it were Ali's classification."
F12-017,Finding,"The call referred to a next meeting on August 19 and a later calendar conflict that required adjustment.","S12-0973--S12-0981","Machine Hebrew paraphrase","Evidence captured; external verification pending",Pending,"Calendar is authoritative for the actual event."
F12-018,Finding,"Ali requested two scholarship recommendations and was asked to provide the details and a draft promptly.","S12-0982--S12-1045","Machine Hebrew paraphrase","Evidence captured; external verification pending",Pending,"The meeting's spoken deadline is not the authoritative scholarship deadline."
F12-019,Finding,"A Drive-sharing failure was discussed and an alternate address was supplied in private Zoom chat.","S12-1046--S12-1057; private chat","Machine Hebrew paraphrase plus private chat","Evidence captured; access test pending",Pending,"The address is intentionally omitted from this public-safe register."
A12-001,Action,"Concentrate the immediate tranche on the literature review; do not extend methodology until the conditional next stage.","S12-0903--S12-0915","Machine-derived action","Pending master-register reconciliation",Pending,"Governed by D12-001."
A12-002,Action,"Pin, enumerate, and screen the entire selected ACL survey/taxonomy corpus.","S12-0916--S12-0949","Machine-derived action","Pending master-register reconciliation",Pending,"One work per row; source commit must be recorded."
A12-003,Action,"Restructure Chapter 2 around the problem and conventional literature progression while retaining RQ mapping as an internal analysis field.","S12-0181--S12-0347; S12-0721--S12-0760","Machine-derived action","Pending master-register reconciliation",Pending,"Chapter structure and RQ mapping are different interfaces."
A12-004,Action,"Classify corpus works and branches by relevance to the research problem and record uncovered themes without immediately expanding the corpus.","S12-0927--S12-0970","Machine-derived action","Pending master-register reconciliation",Pending,"Gap labels remain hypotheses until supported."
A12-005,Action,"Prepare one derived classification slide for the next supervisor walkthrough.","S12-0950--S12-0972","Machine-derived action","Pending master-register reconciliation",Pending,"Four categories are required."
A12-006,Action,"Preserve and verify the live-drafted Foundations query before treating it as a frozen search query.","S12-0570--S12-0718","Machine-derived action","Pending master-register reconciliation",Pending,"ASR fragmentation prevents claiming an exact final Boolean string."
A12-007,Action,"Provide scholarship details and a proposed recommendation draft to both supervisors through Ali-controlled email.","S12-0982--S12-1045","Machine-derived action","Pending external send/receipt evidence",Pending,"Gmail remains draft-only until Ali sends."
A12-008,Action,"Resolve the correct account and retest Arnon's controlled Drive access.","S12-1046--S12-1057; private chat","Machine-derived action","Pending access test",Pending,"Do not publish the address."
A12-009,Action,"Track the planned Clalit discussion as a conditional medical-feasibility event without treating attendance as authorization.","S12-0440--S12-0487","Machine-derived action","Pending external confirmation",Pending,"Medical readiness remains 0/6."
A12-010,Action,"When released after the literature tranche, reconcile the pre-existing methodology draft with the one-study-per-SQ artifact/method structure and two conditional contexts.","S12-0355--S12-0404; S12-0907--S12-0915","Machine-derived action","Deferred by D12-001",Pending,"Do not silently overwrite Proposal v0.4 Section 4."
D12-001,Decision,"Working sequencing decision: literature first; methodology later only after satisfactory literature progress.","S12-0903--S12-0915","Latest explicit machine-derived instruction","Working decision; human confirmation pending",Pending,"Supersedes the immediate sequencing implied at the opening."
D12-002,Decision,"Working scope decision: use the selected ACL survey/taxonomy corpus as the bounded proposal-stage literature tranche.","S12-0916--S12-0949","Machine-derived instruction","Working decision; human confirmation pending",Pending,"Does not prove exhaustiveness."
D12-003,Decision,"Working organization decision: Chapter 2 should build conventionally toward the gap rather than mirror SQ1/SQ2/SQ3 as literal section headings.","S12-0721--S12-0760","Machine-derived interpretation","Working decision; human confirmation pending",Pending,"Keep per-RQ tags in the workbook."
D12-004,Decision,"Working scope decision: broad execution of QL-01--QL-05 is deferred beyond this bounded proposal tranche.","S12-0925--S12-0949","Machine-derived interpretation","Working decision; human confirmation pending",Pending,"The queries remain protocol-ready, not executed."
