Paper_ID,Title,Authors,Year,Venue,Publication_Type,DOI,URL,Database,Query_ID,Search_Date,Access_or_License,Objective,Domain,Study_Design,Data_or_Corpus,Sample,Artifact_or_System,Baseline,Metrics,Main_Results,Authors_Conclusions,Authors_Limitations,Taxonomy_Tags,SQ_Map,Plan_Map,Use_Case_Map,Gap_Evidence,Quality_Rating,Transferability,Researcher_Synthesis,Inclusion_Decision,Exclusion_Reason,Follow_Up,Reviewer,Review_Date
ACL26-W-060DCE500842,τ2-Bench: Evaluating Conversational Agents in a Dual-Control Environment,,2025,arXiv 2025,,,https://arxiv.org/abs/2506.07982,Pinned ACL 2026 taxonomy repository,ACL-CORPUS-001,2026-08-15,Public repository metadata; article access not assessed,Pending human review,,,,,,,,Pending full-text review,Pending full-text review,Pending full-text review,"Binary Assessment, User Action; Collaboration; Communication; Human Feedback; Interaction; Orchestration; Conversation, Observation; Cooperation, Coordination; Decentralized; Evaluative, Implicit; Initial Setup, During Task; One-by-One; Segment, Holistic; Synchronous",,,,Pending full-text review,Not assessed,Not assessed,Pending human review,Pending human title/abstract review,,"Provisional machine suggestion: SQ3; verify identity, then complete blind title/abstract review",,
ACL26-W-8250E5C694E6,A Call for Collaborative Intelligence: Why Human-Agent Systems Should Precede AI Autonomy,,2025,arXiv 2025,,,https://arxiv.org/abs/2506.09420,Pinned ACL 2026 taxonomy repository,ACL-CORPUS-001,2026-08-15,Public repository metadata; article access not assessed,Pending human review,,,,,,,,Pending full-text review,Pending full-text review,Pending full-text review,,,,,Pending full-text review,Not assessed,Not assessed,Pending human review,Pending human title/abstract review,,"Provisional machine suggestion: Unmapped; canonical RQ wording unresolved; verify identity, then complete blind title/abstract review",,
ACL26-W-A9CBC0D4C5D5,A Decoupled Human-in-the-Loop System for Controlled Autonomy in Agentic Workflows,,2026,arXiv 2026,,,https://arxiv.org/abs/2604.23049,Pinned ACL 2026 taxonomy repository,ACL-CORPUS-001,2026-08-15,Public repository metadata; article access not assessed,Pending human review,,,,,,,,Pending full-text review,Pending full-text review,Pending full-text review,"Asynchronous; Binary Assessment, Refinement, Human Control; Collaboration; Communication; Human Feedback; Interaction; Orchestration; Conversation; Evaluative, Corrective, Implicit; Hierarchical; Initial Setup, During Task; One-by-One; Segment; Supervision, Delegation",,,,Pending full-text review,Not assessed,Not assessed,Pending human review,Pending human title/abstract review,,"Provisional machine suggestion: SQ1; verify identity, then complete blind title/abstract review",,
ACL26-W-56ECB566AD26,A Human-Computer Collaborative Tool for Training a Single Large Language Model Agent into a Network through Few Examples,,2024,,,,https://arxiv.org/abs/2404.15974,Pinned ACL 2026 taxonomy repository,ACL-CORPUS-001,2026-08-15,Public repository metadata; article access not assessed,Pending human review,,,,,,,,Pending full-text review,Pending full-text review,Pending full-text review,"Collaboration; Communication; Human Feedback; Interaction; Orchestration; Conversation; Corrective, Guidance; Decentralized; Delegation, Supervision; Demonstration, Refinement; During Task; One-by-One; Segment; Synchronous",,,,Pending full-text review,Not assessed,Not assessed,Pending human review,Pending human title/abstract review,,"Provisional machine suggestion: Unmapped; canonical RQ wording unresolved; verify identity, then complete blind title/abstract review",,
ACL26-W-0607C3ECC9D0,A2C: A Modular Multi-stage Collaborative Decision Framework for Human-AI Teams,,2024,arXiv 2024,,,https://arxiv.org/abs/2401.14432,Pinned ACL 2026 taxonomy repository,ACL-CORPUS-001,2026-08-15,Public repository metadata; article access not assessed,Pending human review,,,,,,,,Pending full-text review,Pending full-text review,Pending full-text review,"Asynchronous; Collaboration; Communication; Human Feedback; Interaction; Orchestration; Conversation; Coordination; Decentralized; During Task; Guidance, Implicit, Corrective, Evaluative; Holistic, Segment; One-by-One; Refinement, Binary Assessment, Critique, Human Control",,,,Pending full-text review,Not assessed,Not assessed,Pending human review,Pending human title/abstract review,,"Provisional machine suggestion: Unmapped; canonical RQ wording unresolved; verify identity, then complete blind title/abstract review",,
ACL26-W-06599C01AC17,ACC-Collab: An Actor-Critic Approach to Multi-Agent LLM Collaboration,,2024,ICLR 2025,,,https://openreview.net/forum?id=nfKfAzkiez,Pinned ACL 2026 taxonomy repository,ACL-CORPUS-001,2026-08-15,Public repository metadata; article access not assessed,Pending human review,,,,,,,,Pending full-text review,Pending full-text review,Pending full-text review,,,,,Pending full-text review,Not assessed,Not assessed,Pending human review,Pending human title/abstract review,,"Provisional machine suggestion: Unmapped; canonical RQ wording unresolved; verify identity, then complete blind title/abstract review",,
ACL26-W-F58001D0B0AA,AgentCollabBench: Diagnosing When Good Agents Make Bad Collaborators,,2026,arXiv 2026,,,https://arxiv.org/abs/2605.08647,Pinned ACL 2026 taxonomy repository,ACL-CORPUS-001,2026-08-15,Public repository metadata; article access not assessed,Pending human review,,,,,,,,Pending full-text review,Pending full-text review,Pending full-text review,"Collaboration; Communication; Human Feedback; Interaction; Orchestration; Coordination; Critique, Binary Assessment; Decentralized; Guidance, Evaluative; Initial Setup, During Task; Message Pool; One-by-One; Segment; Synchronous",,,,Pending full-text review,Not assessed,Not assessed,Pending human review,Pending human title/abstract review,,"Provisional machine suggestion: Unmapped; canonical RQ wording unresolved; verify identity, then complete blind title/abstract review",,
ACL26-W-0F3A21B93B8C,AgentCoord: Visually Exploring Coordination Strategy for LLM-based Multi-Agent Collaboration,,2024,arXiv 2024,,,https://arxiv.org/abs/2404.11943,Pinned ACL 2026 taxonomy repository,ACL-CORPUS-001,2026-08-15,Public repository metadata; article access not assessed,Pending human review,,,,,,,,Pending full-text review,Pending full-text review,Pending full-text review,"Collaboration; Communication; Human Feedback; Interaction; Orchestration; Conversation; Coordination; Decentralized; Demonstration, Refinement; Guidance, Corrective; Initial Setup; One-by-One; Segment; Synchronous",,,,Pending full-text review,Not assessed,Not assessed,Pending human review,Pending human title/abstract review,,"Provisional machine suggestion: Unmapped; canonical RQ wording unresolved; verify identity, then complete blind title/abstract review",,
ACL26-W-B60BD98A4CFF,AgentDS: Benchmarking the Future of Human-AI Collaboration in Domain-Specific Data Science,,2026,arXiv 2026,,,https://arxiv.org/abs/2603.19005,Pinned ACL 2026 taxonomy repository,ACL-CORPUS-001,2026-08-15,Public repository metadata; article access not assessed,Pending human review,,,,,,,,Pending full-text review,Pending full-text review,Pending full-text review,"Asynchronous; Centralized; Collaboration; Communication; Human Feedback; Interaction; Orchestration; Conversation; Cooperation, Delegation; Demonstration, Refinement, Scalar Rating; Guidance, Corrective, Evaluative; Holistic, Segment; Initial Setup, During Task, Post Task; One-by-One",,,,Pending full-text review,Not assessed,Not assessed,Pending human review,Pending human title/abstract review,,"Provisional machine suggestion: SQ3; verify identity, then complete blind title/abstract review",,
ACL26-W-E55532615993,Ai chains: Transparent and controllable human-ai interaction by chaining large language model prompts,,2021,,,,https://dl.acm.org/doi/abs/10.1145/3491102.3517582,Pinned ACL 2026 taxonomy repository,ACL-CORPUS-001,2026-08-15,Public repository metadata; article access not assessed,Pending human review,,,,,,,,Pending full-text review,Pending full-text review,Pending full-text review,Collaboration; Communication; Human Feedback; Interaction; Orchestration; Conversation; Corrective; Delegation; During Task; Hierarchical; One-by-One; Refinement; Segment; Synchronous,,,,Pending full-text review,Not assessed,Not assessed,Pending human review,Pending human title/abstract review,,"Provisional machine suggestion: Unmapped; canonical RQ wording unresolved; verify identity, then complete blind title/abstract review",,
