Work_ID,Title,Primary_URL,Evidence_Basis,Identity_Status,Machine_Preliminary_Relevance,SQ_Map,Chapter2_Map,Machine_Screen_Status,Human_Review_Status,Inclusion_Decision,Exclusion_Reason,Full_Text_Status,Authors_Conclusions,Researcher_Synthesis,Reviewer,Review_Date
ACL26-W-060DCE500842,τ2-Bench: Evaluating Conversational Agents in a Dual-Control Environment,https://arxiv.org/abs/2506.07982,Pinned repository title and taxonomy metadata only,Identifier present; independent metadata verification pending,Relevant candidate,Provisional machine suggestion: SQ3,2.3 Human-agent collaboration design space; 2.6 Evaluation and transfer,Complete,Pending,Pending human title/abstract review,,Pending,Pending full-text review,Pending human review,,
ACL26-W-8250E5C694E6,A Call for Collaborative Intelligence: Why Human-Agent Systems Should Precede AI Autonomy,https://arxiv.org/abs/2506.09420,Pinned repository title and taxonomy metadata only,Identifier present; independent metadata verification pending,Peripheral candidate,Provisional machine suggestion: Unmapped; canonical RQ wording unresolved,2.3 Human-agent collaboration design space,Complete,Pending,Pending human title/abstract review,,Pending,Pending full-text review,Pending human review,,
ACL26-W-A9CBC0D4C5D5,A Decoupled Human-in-the-Loop System for Controlled Autonomy in Agentic Workflows,https://arxiv.org/abs/2604.23049,Pinned repository title and taxonomy metadata only,Identifier present; independent metadata verification pending,Relevant candidate,Provisional machine suggestion: SQ1,2.3 Human-agent collaboration design space; 2.4 Selective intervention and bounded oversight,Complete,Pending,Pending human title/abstract review,,Pending,Pending full-text review,Pending human review,,
ACL26-W-56ECB566AD26,A Human-Computer Collaborative Tool for Training a Single Large Language Model Agent into a Network through Few Examples,https://arxiv.org/abs/2404.15974,Pinned repository title and taxonomy metadata only,Identifier present; independent metadata verification pending,Contextual candidate,Provisional machine suggestion: Unmapped; canonical RQ wording unresolved,2.3 Human-agent collaboration design space,Complete,Pending,Pending human title/abstract review,,Pending,Pending full-text review,Pending human review,,
ACL26-W-0607C3ECC9D0,A2C: A Modular Multi-stage Collaborative Decision Framework for Human-AI Teams,https://arxiv.org/abs/2401.14432,Pinned repository title and taxonomy metadata only,Identifier present; independent metadata verification pending,Contextual candidate,Provisional machine suggestion: Unmapped; canonical RQ wording unresolved,2.3 Human-agent collaboration design space,Complete,Pending,Pending human title/abstract review,,Pending,Pending full-text review,Pending human review,,
ACL26-W-06599C01AC17,ACC-Collab: An Actor-Critic Approach to Multi-Agent LLM Collaboration,https://openreview.net/forum?id=nfKfAzkiez,Pinned repository title and taxonomy metadata only,Identifier present; independent metadata verification pending,Peripheral candidate,Provisional machine suggestion: Unmapped; canonical RQ wording unresolved,2.3 Human-agent collaboration design space,Complete,Pending,Pending human title/abstract review,,Pending,Pending full-text review,Pending human review,,
ACL26-W-F58001D0B0AA,AgentCollabBench: Diagnosing When Good Agents Make Bad Collaborators,https://arxiv.org/abs/2605.08647,Pinned repository title and taxonomy metadata only,Identifier present; independent metadata verification pending,Contextual candidate,Provisional machine suggestion: Unmapped; canonical RQ wording unresolved,2.3 Human-agent collaboration design space,Complete,Pending,Pending human title/abstract review,,Pending,Pending full-text review,Pending human review,,
ACL26-W-0F3A21B93B8C,AgentCoord: Visually Exploring Coordination Strategy for LLM-based Multi-Agent Collaboration,https://arxiv.org/abs/2404.11943,Pinned repository title and taxonomy metadata only,Identifier present; independent metadata verification pending,Contextual candidate,Provisional machine suggestion: Unmapped; canonical RQ wording unresolved,2.3 Human-agent collaboration design space,Complete,Pending,Pending human title/abstract review,,Pending,Pending full-text review,Pending human review,,
ACL26-W-B60BD98A4CFF,AgentDS: Benchmarking the Future of Human-AI Collaboration in Domain-Specific Data Science,https://arxiv.org/abs/2603.19005,Pinned repository title and taxonomy metadata only,Identifier present; independent metadata verification pending,Relevant candidate,Provisional machine suggestion: SQ3,2.3 Human-agent collaboration design space; 2.6 Evaluation and transfer,Complete,Pending,Pending human title/abstract review,,Pending,Pending full-text review,Pending human review,,
ACL26-W-E55532615993,Ai chains: Transparent and controllable human-ai interaction by chaining large language model prompts,https://dl.acm.org/doi/abs/10.1145/3491102.3517582,Pinned repository title and taxonomy metadata only,Identifier present; independent metadata verification pending,Contextual candidate,Provisional machine suggestion: Unmapped; canonical RQ wording unresolved,2.3 Human-agent collaboration design space,Complete,Pending,Pending human title/abstract review,,Pending,Pending full-text review,Pending human review,,
ACL26-W-515C64813781,aiXiv: A Next-Generation Open Access Ecosystem for Scientific Discovery Generated by AI Scientists,https://arxiv.org/abs/2508.15126,Pinned repository title and taxonomy metadata only,Identifier present; independent metadata verification pending,Peripheral candidate,Provisional machine suggestion: Unmapped; canonical RQ wording unresolved,2.3 Human-agent collaboration design space,Complete,Pending,Pending human title/abstract review,,Pending,Pending full-text review,Pending human review,,
ACL26-W-3377393DBDBC,Aligning LLM Agents by Learning Latent Preference from User Edits,https://openreview.net/forum?id=DlYNGpCuwa,Pinned repository title and taxonomy metadata only,Identifier present; independent metadata verification pending,Relevant candidate,Provisional machine suggestion: SQ2,"2.3 Human-agent collaboration design space; 2.5 Feedback, judgment, governance, and reuse",Complete,Pending,Pending human title/abstract review,,Pending,Pending full-text review,Pending human review,,
ACL26-W-63CEFF1304B3,An LLM-based approach for Enabling Seamless Human-Robot Collaboration in Assembly,https://www.sciencedirect.com/science/article/pii/S000785062400012X,Pinned repository title and taxonomy metadata only,Identifier present; independent metadata verification pending,Contextual candidate,Provisional machine suggestion: Unmapped; canonical RQ wording unresolved,2.3 Human-agent collaboration design space,Complete,Pending,Pending human title/abstract review,,Pending,Pending full-text review,Pending human review,,
ACL26-W-50722DD72D20,APIGen-MT: Agentic Pipeline for Multi-Turn Data Generation via Simulated Agent-Human Interplay,https://arxiv.org/abs/2504.03601,Pinned repository title and taxonomy metadata only,Identifier present; independent metadata verification pending,Peripheral candidate,Provisional machine suggestion: Unmapped; canonical RQ wording unresolved,2.3 Human-agent collaboration design space,Complete,Pending,Pending human title/abstract review,,Pending,Pending full-text review,Pending human review,,
ACL26-W-59A397CFEBE2,Ask-before-Plan: Proactive Language Agents for Real-World Planning,https://aclanthology.org/2024.findings-emnlp.636/,Pinned repository title and taxonomy metadata only,Identifier present; independent metadata verification pending,Core candidate,Provisional machine suggestion: SQ1; SQ3,2.3 Human-agent collaboration design space; 2.4 Selective intervention and bounded oversight; 2.6 Evaluation and transfer,Complete,Pending,Pending human title/abstract review,,Pending,Pending full-text review,Pending human review,,
ACL26-W-D9ACE8823B34,Ask or Assume? Uncertainty-Aware Clarification-Seeking in Coding Agents,https://arxiv.org/abs/2603.26233,Pinned repository title and taxonomy metadata only,Identifier present; independent metadata verification pending,Relevant candidate,Provisional machine suggestion: SQ1,2.3 Human-agent collaboration design space; 2.4 Selective intervention and bounded oversight,Complete,Pending,Pending human title/abstract review,,Pending,Pending full-text review,Pending human review,,
ACL26-W-3CA54311D04A,AssistantX: An LLM-Powered Proactive Assistant in Collaborative Human-Populated Environment,https://arxiv.org/abs/2409.17655,Pinned repository title and taxonomy metadata only,Identifier present; independent metadata verification pending,Relevant candidate,Provisional machine suggestion: SQ1,2.3 Human-agent collaboration design space; 2.4 Selective intervention and bounded oversight,Complete,Pending,Pending human title/abstract review,,Pending,Pending full-text review,Pending human review,,
