Category,Variable/signal,Measured from,Unit,Asking agent,Answering agent,Direct trigger?,Action,Not evidence of
raw_event_field,RAW_QUESTION_ID,VEGO-AI/framework/qa_communication.py :: question_id,question,Recorded source_agent,Recorded target_agent,NO,Preserve for traceability; do not route a person from the raw field alone.,Identifies a question; it does not classify the question.
raw_event_field,RAW_SOURCE_AGENT,VEGO-AI/framework/qa_communication.py :: source_agent,question,Recorded source_agent,Recorded target_agent,NO,Preserve for traceability; do not route a person from the raw field alone.,"Agent identity is provenance, not competence or correctness."
raw_event_field,RAW_TARGET_AGENT,VEGO-AI/framework/qa_communication.py :: target_agent,question,Recorded source_agent,Recorded target_agent,NO,Preserve for traceability; do not route a person from the raw field alone.,A route target is not proof that an answer was received or was correct.
raw_event_field,RAW_ANSWER_CONFIDENCE,VEGO-AI/framework/qa_communication.py :: answer_confidence,answer,Recorded source_agent,Recorded target_agent,NO,Preserve for traceability; do not route a person from the raw field alone.,The confidence label is not calibrated correctness or evidence quality.
raw_event_field,RAW_ANSWER_EVIDENCE_REF,VEGO-AI/framework/qa_communication.py :: answer_evidence_ref,answer,Recorded source_agent,Recorded target_agent,NO,Preserve for traceability; do not route a person from the raw field alone.,Presence or length is not a judgment of evidence quality or validity.
raw_event_field,RAW_ROUND_INDEX,VEGO-AI/framework/qa_communication.py :: round_index,question or answer,Recorded source_agent,Recorded target_agent,NO,Preserve for traceability; do not route a person from the raw field alone.,"A later round does not itself mean failure, disagreement, or human benefit."
raw_event_field,RAW_TERMINATION_REASON,schemas/qa-communication-event-v1.schema.json :: termination_reason,Q&A episode,Recorded source_agent,Recorded target_agent,NO,Preserve for traceability; do not route a person from the raw field alone.,Termination state is not an outcome label or correctness judgment.
communication_process_signal,S1_LOW_ANSWER_CONFIDENCE,scripts/extract_qa_escalation_features.py :: answer_confidence,answer → Q&A episode,Recorded producer (Agent 2/3/4),Recorded target (Agent 1/2),YES,Low confidence on any answer in a complete episode. The result is a candidate label only.,Candidate alert only; no correctness or human-benefit conclusion.
communication_process_signal,S2_MEDIUM_ANSWER_CONFIDENCE,scripts/extract_qa_escalation_features.py :: answer_confidence,answer → Q&A episode,Recorded producer (Agent 2/3/4),Recorded target (Agent 1/2),YES,Medium confidence on any answer in a complete episode. The result is a candidate label only.,"A weak candidate alert, not an error, correctness, or calibrated probability."
communication_process_signal,S3_MISSING_ANSWER_EVIDENCE,scripts/extract_qa_escalation_features.py :: answer_evidence_ref,answer → Q&A episode,Recorded producer (Agent 2/3/4),Recorded target (Agent 1/2),YES,Any answer has no recorded evidence reference or a zero-length reference. The result is a candidate label only.,"Missing reference is a grounding-observability condition, not proof that the answer lacks evidence."
communication_process_signal,S6_MULTIPLE_QA_ROUNDS,scripts/extract_qa_escalation_features.py :: round_count,Q&A episode,Recorded producer (Agent 2/3/4),Recorded target (Agent 1/2),YES,The maximum observed round count for the episode is greater than one. The result is a candidate label only.,"Multiple rounds are not proof of disagreement, failure, burden, or quality."
