"paper_id","full_citation","year","venue","doi_url","peer_review_status","query_family","discovery_source","extraction_depth","research_problem","unit_of_decision","human_role","when_human_is_involved","who_is_selected","selection_signal","competence_modelled","authority_modelled","authority_distinct_from_competence","judgment_representation","rationale_captured","scope_captured","provenance","disagreement_preserved","version_binding","expiry","revocation","supersession","contestability","reuse_supported","reuse_scope","authorization_checked","validity_checked","target_context_checked","independent_target_evidence","local_vs_transferable_failure_classification","evaluation_type","dataset","participants","baseline","metrics","main_result","relationship_to_our_gap","exact_gap_effect","limitations","verified_source"
"G1-01","R. Verma, D. Barrejon, E. Nalisnick, 'Learning to Defer to Multiple Experts: Consistent Surrogate Losses, Confidence Calibration, and Conformal Ensembles', Proc. 26th Int. Conf. on Artificial Intelligence and Statistics (AISTATS), PMLR 206, pp. 11415-11434, 2023.","2023","AISTATS 2023 (PMLR 206)","https://proceedings.mlr.press/v206/verma23a.html","Tier A - peer-reviewed major conference","QL-02","Proposal reference [60]; re-verified via PMLR proceedings page","abstract_and_verified_quotation","Statistical foundations of deferring a prediction to one of several differentiated human experts: consistent surrogate losses, calibration, expert ensembling.","One classification instance x","Decision maker of last resort for deferred instances","At inference, when the learned deferral rule selects deferral for instance x","One of J named experts, or a conformal-inference-selected subset of experts","Estimated P(m_j = y | x) per expert j, i.e. instance-conditional expert correctness, plus model confidence","YES - explicitly, and conditioned on the specific instance x, not an aggregate per-expert score","NO","NO - authority absent entirely","The expert's output is a class label consumed as the system decision; no record object","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO - the deferred label is a one-shot decision","not_applicable","NO","NO","NO","NO","NO","Offline benchmark experiments with simulated and human-derived expert labels","Galaxy morphology classification, skin lesion classification, hate speech classification","No live human participants; expert labels drawn from existing annotations","Single-expert L2D surrogates (Mozannar and Sontag 2020; Verma and Nalisnick 2022)","System accuracy and calibration error at varying deferral rates","Two consistent multi-expert surrogates derived; the softmax parameterisation propagates mis-calibration between expert estimates while the one-vs-all parameterisation does not; conformal selection of an expert subset is proposed.","POSSIBLE_REFUTER","Refutes the specific wording that multi-expert deferral conditions only on an aggregate competence profile over a task distribution. Instance-conditional per-expert competence must be conceded. GAP-1 survives only as the competence-AND-authority conjunction plus the claim-level unit and budgeted evaluation.","Requires per-expert ground-truth outcome labels; fixed known expert panel; single true label per instance, so no representation of several defensible readings; no attention-budget or selective-risk evaluation of the routing decision.","PMLR v206 proceedings page; abstract quoted verbatim; page range matches proposal reference [60]"
"G1-02","A. Mao, C. Mohri, M. Mohri, Y. Zhong, 'Two-Stage Learning to Defer with Multiple Experts', Advances in Neural Information Processing Systems 36, 2023.","2023","NeurIPS 2023","https://proceedings.neurips.cc/paper_files/paper/2023/hash/0b17d256cf1fe1cc084922a8c6b565b7-Abstract-Conference.html","Tier A - peer-reviewed major conference","QL-02","Proposal reference [61]; re-verified via NeurIPS proceedings","metadata_and_abstract","Two-stage learning to defer where a predictor is fixed first and a deferral rule then routes among multiple experts, with consistency guarantees.","One prediction instance","One of several experts who may receive the instance","At inference, on deferral","One of multiple experts","Expert-specific cost and accuracy, conditioned on the instance","YES - per-expert, instance-conditional","NO","NO","Expert prediction consumed as the decision; no record object","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","not_applicable","NO","NO","NO","NO","NO","Theoretical (realizable H-consistency bounds) with supporting experiments","not_reported","No live human participants","Single-stage and single-expert deferral formulations","Deferral loss, H-consistency bounds, accuracy-cost trade-off","Establishes realizable H-consistency for two-stage multi-expert deferral and derives corresponding surrogate losses.","POSSIBLE_REFUTER","Reinforces G1-01. Confirms that routing among differentiated experts, architecturally separated from the base predictor, is established prior art.","Expert differentiation by cost and accuracy only; no authority, scope or eligibility; label-supervised.","NeurIPS 2023 proceedings record (authors, title, venue, year). Page range 3578-3606 in reference [61] NOT independently confirmed."
"G1-03","N. Russell, W. M. P. van der Aalst, A. H. M. ter Hofstede, D. Edmond, 'Workflow Resource Patterns: Identification, Representation and Tool Support', Advanced Information Systems Engineering (CAiSE 2005), LNCS 3520, pp. 216-232, 2005.","2005","CAiSE 2005, LNCS 3520","https://doi.org/10.1007/11431855_16","Tier A - peer-reviewed major conference","QL-02 (adjacent: BPM resource allocation)","Adjacent-literature search mandated by proposal Section 2.6; web search plus Springer record","pattern_catalogue_and_documentation_review","The resource perspective of workflow had been neglected relative to control flow; the paper identifies and formalises the patterns by which work items are distributed to and executed by participants.","One work item (an activity instance in a running process case)","Participant who is offered, allocated or required to execute the work item","At work-item creation, offer, allocation and start, i.e. by design at every distribution point","A participant or set of participants resolved against an organisational model","Pattern-dependent: role membership, declared capability, organisational position, execution history, or prior familiarity with the case","PARTIAL - Capability-Based Distribution matches DECLARED capability attributes; competence is not assessed from evidence","YES - the Authorisation pattern plus Separation of Duties and Binding of Duties constrain who MAY execute the item","YES - capability-based distribution and authorisation are separate, independently specifiable patterns in the same catalogue","Work-item state transitions and execution records; not a judgment record","NO","PARTIAL - the constraint applies to the specified activity type","PARTIAL - work-item execution history is retained","NO","NO","NO","PARTIAL - work items can be deallocated or reoffered","NO","NO","PARTIAL - History-Based Distribution and Retain Familiar reuse past allocation outcomes","Within the same process model and organisational model","YES - by design, per work item","NO","NO","NO","NO","Pattern identification and expressiveness assessment; tool support demonstration; no controlled outcome study","Commercial and open-source workflow product feature analysis","not_applicable","Comparative expressiveness of contemporary workflow systems","Pattern support coverage per product","A catalogue of resource patterns including Role-Based and Capability-Based Distribution, Authorisation, Separation of Duties and History-Based Distribution, with an assessment of how poorly contemporary workflow systems supported them.","POSSIBLE_REFUTER","The single closest structural match to GAP-1: one framework jointly represents a capability requirement and an authorisation constraint for a specific work item. GAP-1 must be narrowed from competence and authority are not represented together to ASSESSED, claim-specific competence has not been combined with authority in an evaluated routing policy.","Capability is declared, not assessed; unit is a work item with a defined completion criterion rather than a contested claim; a design vocabulary rather than an evaluated policy; no accuracy, budget or risk outcome reported.","Crossref (DOI, pages 216-232, 2005) and Springer chapter record; workflowpatterns.com documentation for pattern names. NOTE: the Crossref container-title for this DOI is corrupted to an unrelated series."
"G1-04","E. Bertino, E. Ferrari, V. Atluri, 'The specification and enforcement of authorization constraints in workflow management systems', ACM Transactions on Information and System Security 2(1), pp. 65-104, 1999.","1999","ACM TISSEC 2(1)","https://doi.org/10.1145/300830.300837","Tier A - peer-reviewed journal","QL-02 (adjacent: BPM authority)","Adjacent-literature search; Crossref bibliographic query","metadata_and_abstract","How to specify and enforce, formally, which roles and users may execute which workflow tasks, including constraints spanning several tasks.","One workflow task assignment","Authorised or unauthorised executor of a task","At task assignment and execution","A user or role satisfying the authorisation constraints","Role membership and constraint satisfaction, including static and dynamic separation of duty and binding of duty","NO","YES - formally specified and algorithmically enforced","NA - only authority is modelled; competence is absent","Task execution assignment records","NO","YES - authorisation is scoped to specified tasks and constraint windows","PARTIAL - execution history is used for dynamic constraints","NO","NO","PARTIAL - dynamic constraints are evaluated relative to case state","PARTIAL - authorisations can be revoked in the model","NO","NO","NO","not_applicable","YES","NO","NO","NO","NO","Formal - language definition, consistency results, and enforcement algorithm with complexity analysis","not_applicable","not_applicable","Prior role-based access control models","Formal correctness and complexity","A logic-based constraint language and an enforcement algorithm assigning users and roles to workflow tasks while satisfying all declared authorisation constraints.","PARTIAL_PREDECESSOR","Establishes authority modelling as mature prior art. The proposal must stop treating authority representation as unaddressed and instead argue that authority has never been conditioned on assessed competence for a contested interpretation.","No competence, skill or accuracy notion; authorisation is orthogonal to whether the authorised actor decides well; no contested-interpretation concept.","Crossref (DOI, journal, volume, pages 65-104, 1999)"
"G1-05","L. Pufahl, F. Stiehle, S. Ihde, M. Weske, I. Weber, 'Resource allocation in business process executions - A systematic literature study', Information Systems, art. 102541, 2025.","2025","Information Systems (Elsevier)","https://doi.org/10.1016/j.is.2025.102541","Tier A - peer-reviewed journal (systematic review)","QL-02 (adjacent: BPM resource allocation)","Adjacent-literature search; web search then Crossref and OpenAlex verification","abstract_via_openalex","What the literature on system-initiated resource allocation during business process execution actually does: which goals, inputs, criteria and methods it uses.","One process activity instance requiring a resource","Allocated resource","At allocation time during process execution","A resource satisfying allocation goals and constraints","Across 61 primary studies: resource and task attributes, process models and execution data","PARTIAL across the corpus - resource capability and expertise appear as allocation attributes","PARTIAL across the corpus - role constraints restrict which resources may perform an activity","PARTIAL - both appear as separate attribute families, but the review reports no approach evaluated on their joint, evidence-conditioned use","not_applicable","NO","not_reported","not_reported","NO","NO","NO","NO","NO","NO","not_reported","not_reported","PARTIAL - via role constraints","NO","NO","NO","NO","Systematic literature study","61 primary studies published 1995-2023","not_applicable","not_applicable","Classification coverage across allocation goals, inputs, criteria and methods","Reviewed approaches are predominantly rule-based and process-oriented, mostly 1-to-1 allocations; the review explicitly calls for consistent terminology, evidence-oriented allocation methods with greater adaptability, and comparative benchmarking to improve reproducibility.","SUPPORTING_BACKGROUND","The decisive evidence that GAP-1 survives as NARROWED rather than refuted: the adjacent literature's own 2025 systematic review reports that its allocation methods are not evidence-oriented and are not comparatively benchmarked. Must replace the proposal's bare statement that BPM has not been searched.","A review, not an approach; scope is system-initiated allocation of process activities, so claim-level interpretive routing falls outside its unit of analysis; corpus ends 2023.","Crossref (DOI, journal, 2025) and OpenAlex (authors, abstract, scope)"
"G1-06","M. Arias, E. Rojas, J. Munoz-Gama, M. Sepulveda, 'A Framework for Recommending Resource Allocation Based on Process Mining', Business Process Management Workshops, LNBIP, pp. 458-470.","2016","BPM Workshops (LNBIP)","https://doi.org/10.1007/978-3-319-42887-1_37","Tier B - peer-reviewed workshop","QL-02 (adjacent: BPM resource allocation)","Adjacent-literature search; Crossref bibliographic query","metadata_and_abstract","How to recommend which resource should perform an activity, using evidence of past performance mined from event logs.","One process activity instance","Recommended resource","At allocation decision time","The resource ranked best for the activity by mined performance evidence","Historical performance metrics derived from event logs per resource and activity type","YES - ASSESSED from event-log evidence rather than declared; the closest BPM analogue to assessed competence","NO - not jointly modelled in the recommendation","NO","not_applicable","NO","PARTIAL - per activity type","PARTIAL - recommendations trace to event-log evidence","NO","NO","NO","NO","NO","NO","YES - past performance evidence is reused to inform later allocations","Same process and activity types within the mined organisation","NO","NO","NO","NO","NO","Framework proposal with illustrative application","Process event logs","not_applicable","not_reported","Allocation performance proxies","A framework that derives resource-allocation recommendations from process-mining evidence of historical resource performance.","POSSIBLE_REFUTER","Closes the escape route that BPM has no assessed competence. GAP-1's residual must rest on the joint competence-and-authority decision, the claim-level unit, and budgeted evaluation.","Competence assessed at activity-type granularity, not for one contested claim; authority absent; recommends rather than governs; workshop-level evidence.","Crossref (DOI, pages 458-470)"
"G1-07","C. Cabanillas, D. Knuplesch, M. Resinas, M. Reichert, J. Mendling, A. Ruiz-Cortes, 'RALph: A Graphical Notation for Resource Assignments in Business Processes', Advanced Information Systems Engineering (CAiSE 2015), LNCS, pp. 53-68, 2015.","2015","CAiSE 2015, LNCS","https://doi.org/10.1007/978-3-319-19069-3_4","Tier A - peer-reviewed major conference","QL-02 (adjacent: BPM resource allocation)","Adjacent-literature search; Crossref bibliographic query","metadata_and_abstract","How to express, graphically and formally, which resources may be assigned to a process activity.","One process activity","Assignable resource","At design time (specification) and at resolution time","Resources satisfying the assignment expression against an organisational model","Organisational position, role, declared capability, duty-separation and history conditions","PARTIAL - declared capability requirements only","YES - organisational position and duty-separation conditions","YES - capability and position are separate expressible conditions","not_applicable","NO","YES - scoped to the specified activity","NO","NO","NO","NO","NO","NO","NO","PARTIAL - history-based conditions","Same process model","YES","NO","NO","NO","NO","Notation design plus formal semantics and expressiveness evaluation against the resource patterns","not_applicable","not_reported","RAL and the workflow resource patterns","Expressiveness coverage and automated resolution","A graphical, formally grounded notation for resource assignment conditions, resolvable automatically against an organisational model.","PARTIAL_PREDECESSOR","Confirms that jointly expressing capability and organisational authority is routine in BPM. Contributes to GAP-1's narrowing.","Declarative constraints over declared attributes; no assessed competence; no policy evaluation against outcomes.","Crossref (DOI, pages 53-68, 2015)"
"G1-08","Regulation (EU) 2024/1689 of the European Parliament and of the Council laying down harmonised rules on artificial intelligence (Artificial Intelligence Act), Article 26(2).","2024","Official Journal of the European Union (binding regulation)","https://artificialintelligenceact.eu/article/26/","Tier A - authoritative legal standard","QL-01","Adversarial search for authority-plus-competence conjunctions; verified against consolidated article text","verbatim_provision_quotation","Obligations on deployers of high-risk AI systems, including the assignment of human oversight.","Assignment of the oversight duty for a high-risk AI system, at role level rather than claim level","Assigned human overseer","Throughout deployment, as specified by the oversight measures","Natural persons assigned by the deployer","Necessary competence, training and authority, plus necessary support","YES - required as a normative precondition, with no assessment method specified","YES - required as a normative precondition","YES - competence, training and authority are enumerated as distinct requirements in the same provision","not_applicable","NO","PARTIAL - scoped to the high-risk system deployed","NO","NO","NO","NO","NO","NO","PARTIAL - the Regulation provides complaint and explanation rights elsewhere","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","Legal instrument - no empirical evaluation","not_applicable","not_applicable","not_applicable","not_applicable","Article 26(2): Deployers shall assign human oversight to natural persons who have the necessary competence, training and authority, as well as the necessary support.","NEAR_MISS","Removes any claim that conjoining competence and authority is conceptually novel, since binding regulation already mandates it. Novelty must be relocated to operationalisation: a per-claim, evidence-conditioned, budgeted and evaluated routing policy. Simultaneously strengthens the practical motivation for Study 1.","States a requirement, not a mechanism. No per-claim selection procedure, no competence assessment method, no evaluation.","Consolidated Article 26 text quoted verbatim. The candidate should re-verify against the EUR-Lex Official Journal text before citing."
"G2-01","T. Clark, P. N. Ciccarese, C. A. Goble, 'Micropublications: a semantic model for claims, evidence, arguments and annotations in biomedical communications', Journal of Biomedical Semantics 5:28, 2014.","2014","Journal of Biomedical Semantics","https://doi.org/10.1186/2041-1480-5-28","Tier A - peer-reviewed journal","QL-03","Adjacent-literature search on claim-level records; Crossref and OpenAlex verification","abstract_via_openalex","Scientific publications are defeasible arguments supported by data and methods, but the linear document form makes evidence unverifiable and citation chains unreliable; a machine-tractable claim-level model is needed.","One CLAIM, a single natural-language statement","Author or claimant, and challenger of others' claims","At authoring, annotation, review and challenge","not_applicable","not_applicable","NO - identity attribution only, no competence estimate","NO - attribution is not mandate","NO - neither is modelled as a decision right","OWL 2 / RDF model: claim plus attribution plus supporting data, methods and materials plus the connecting argument plus discussion, challenges and opposition","YES - the argument connecting evidence to the claim is explicit","NO - no validity scope on the claim","YES - claim provenance and evidence chains are first class","YES - the model explicitly supports challenge and disagreement, and maximal forms include challenges brought forward or opposition","PARTIAL - claims are individually identified and RDF-serialisable; no binding to a versioned target artefact","NO","NO","NO","YES - challenge is a modelled relation between claims","PARTIAL - claims are citable and machine-readable, so they can be referenced later","Scholarly citation and annotation; no governed reuse decision","NO","NO","NO","NO","NO","Model specification with RDF examples and case studies; no controlled evaluation of capture cost or reconstructability","Biomedical literature examples","not_applicable","Nanopublications and simpler statement-based models","None reported - an expressiveness argument rather than measurement","A semantic model providing claims with attribution, evidence, methods, argument and retained challenge, serialisable in RDF with an OWL 2 vocabulary, presented as necessary where simpler statement-based models are insufficient for qualified, nuanced assertions.","POSSIBLE_REFUTER","Directly narrows Section 2.4's claim that no record format combines reasoning-level content, retained disagreement and provenance at claim level - it does. GAP-2's residual reduces to validity scope, competence and authority, and a lifecycle that can lapse. Must be cited.","No scope, competence, authority, expiry, revocation or supersession; no evaluation of capture cost or blind reconstructability; biomedical scholarly-communication setting.","Crossref (DOI, journal, article 28, 2014) and OpenAlex (authors, abstract)"
"G2-02","P. Groth, A. Gibson, J. Velterop, 'The anatomy of a nanopublication', Information Services and Use 30(1-2), pp. 51-56, 2010.","2010","Information Services and Use","https://doi.org/10.3233/isu-2010-0613","Tier B - peer-reviewed journal (short position article)","QL-03","Adjacent-literature search on claim-level records; Crossref verification","metadata_and_abstract","How to publish and cite the smallest meaningful unit of scientific assertion so that it is machine-readable and individually attributable.","One assertion","Author and attributed source","At publication","not_applicable","not_applicable","NO","NO","NO","Assertion plus provenance plus publication information, immutably identified","NO - no argument structure","NO","YES - provenance is a constitutive component","NO - conflicting nanopublications may coexist but conflict is not modelled","YES - immutable and individually identified, giving version-exact citability","NO","PARTIAL - retraction is an ecosystem convention, not a modelled lifecycle state","PARTIAL - by publishing a superseding nanopublication, not by a modelled transition","NO","YES - individually citable and machine-consumable","Scholarly citation","NO","NO","NO","NO","NO","Conceptual specification; no empirical evaluation","not_applicable","not_applicable","Conventional article-level publication","None reported","Defines a nanopublication as an assertion together with its provenance and publication information, immutable and individually citable.","POSSIBLE_REFUTER","Concedes version-exact, claim-level provenance as established prior art, narrowing GAP-2's version-binding element.","Factual assertions rather than governed human judgments; no rationale, scope, authority, competence or modelled lifecycle; short position article.","Crossref (DOI, journal, volume, pages 51-56, 2010)"
