branch_id,parent_id,provenance,source_dimension,source_category,relevance,rq_mapping,study_artifact,vego_ai_interpretation,evidence_basis,claim_boundary
ACL-ENV,,ACL-PAPER,Environment & Profiling,Major dimension,HIGHLY RELEVANT,U-RQ|SQ1|SQ2|SQ3,,Defines environment and participant/capability context,"Zou et al. 2026 Sec. 3.1; VEGO-AI v10 construct/authority boundaries","Context description does not itself establish authority, permission, or transfer validity"
ACL-ENV-SETTING,ACL-ENV,ACL-PAPER,Environment & Profiling,Environment setting,HIGHLY RELEVANT,SQ3,Transfer-eligibility decision procedure + target-context descriptor,Provides source/target setting descriptors,"Zou et al. 2026 Sec. 3.1; Ben-David 2010; Koh et al. 2021","No safe-transfer claim before held-out target evaluation"
ACL-ENV-HUMAN,ACL-ENV,ACL-PAPER,Environment & Profiling,Human profile,HIGHLY RELEVANT,SQ1|SQ2,Normative judgment-record contract + conformance suite,Supports role competence burden and claim-specific authority,"Zou et al. 2026 Sec. 3.1; Shneiderman 2020; Alfrink et al. 2023","A human profile is not proof of expertise or authorization"
ACL-ENV-AGENT,ACL-ENV,ACL-PAPER,Environment & Profiling,Agent profile/capabilities,HIGHLY RELEVANT,U-RQ|SQ1,,Supports role/capability limitations and escalation context,"Zou et al. 2026 Sec. 3.1; Dhanorkar et al. 2026 boundary evidence","Capability description does not demonstrate reliability"
ACL-HF,,ACL-PAPER|ACL-REPO,Human Feedback,Major dimension,HIGHLY RELEVANT,SQ1|SQ2,,Direct source structure for feedback type granularity and phase,"Zou et al. 2026 Sec. 3.2 and Table 1","Feedback classification does not provide governance or safe reuse"
ACL-HF-EVAL,ACL-HF,ACL-PAPER|ACL-REPO,Human Feedback,Evaluative,HIGHLY RELEVANT,SQ2,Normative judgment-record contract + conformance suite,Maps to verdict/rating but is insufficient alone,"Zou et al. 2026 Sec. 3.2; VEGO-AI v10 Sec. 5.1-5.2","A naked label is not a reusable governed judgment"
ACL-HF-CORR,ACL-HF,ACL-PAPER|ACL-REPO,Human Feedback,Corrective,HIGHLY RELEVANT,SQ2,Normative judgment-record contract + conformance suite,Maps to evidence premise rule or classification correction,"Zou et al. 2026 Sec. 3.2; Kulesza et al. 2015","Correction does not by itself establish authority or scope"
ACL-HF-GUIDE,ACL-HF,ACL-PAPER|ACL-REPO,Human Feedback,Guidance,HIGHLY RELEVANT,SQ1|SQ2,Normative judgment-record contract + conformance suite,Maps to instructions rationale examples and counterevidence,"Zou et al. 2026 Sec. 3.2; Amershi et al. 2019","Guidance may be wrong or out of scope and requires validation"
ACL-HF-IMPLICIT,ACL-HF,ACL-PAPER|ACL-REPO,Human Feedback,Implicit,LESS RELEVANT,SQ1,,Potential reliance/workflow signal but ambiguous for expert judgment,"Zou et al. 2026 Sec. 3.2","Must not become authoritative judgment without explicit validation"
ACL-HF-HOLISTIC,ACL-HF,ACL-PAPER|ACL-REPO,Human Feedback,Holistic/coarse-grained,LESS RELEVANT,SQ2,Normative judgment-record contract + conformance suite,Useful for overall assessment but weak reconstruction,"Zou et al. 2026 Table 1; VEGO-AI v10 Sec. 5.1","Cannot localize the failed claim/premise reliably"
ACL-HF-SEGMENT,ACL-HF,ACL-PAPER|ACL-REPO,Human Feedback,Segment-level/fine-grained,HIGHLY RELEVANT,SQ1|SQ2,Attention-budget cost/coverage model; normative judgment-record contract,Matches fragment guideline pattern and claim-level review,"Zou et al. 2026 Table 1; VEGO-AI v10 Sec. 4.1 and 5.1","Fine granularity may increase burden and does not ensure correctness"
ACL-HF-INITIAL,ACL-HF,ACL-PAPER|ACL-REPO,Human Feedback,Initial setup,HIGHLY RELEVANT,SQ1|SQ2,Normative judgment-record contract + conformance suite,Supports guideline/template validation and policy setup,"Zou et al. 2026 Table 1","Upfront input does not validate later decisions"
ACL-HF-DURING,ACL-HF,ACL-PAPER|ACL-REPO,Human Feedback,During task,HIGHLY RELEVANT,SQ1,Attention-budget cost/coverage model,Supports selective live intervention,"Zou et al. 2026 Table 1; Horvitz 1999; Mozannar and Sontag 2020","No optimal timing or burden benefit is currently demonstrated"
ACL-HF-POST,ACL-HF,ACL-PAPER|ACL-REPO,Human Feedback,Post-task,HIGHLY RELEVANT,SQ1|SQ2|SQ3,Normative judgment-record contract + conformance suite,Supports audit adjudication memory validation and outcome trace,"Zou et al. 2026 Table 1; VEGO-AI v10 Sec. 6-8","Post-task feedback cannot alter the completed case and can contaminate evaluation if mishandled"
ACL-INT,,ACL-PAPER|ACL-REPO,Interaction Type,Major dimension,HIGHLY RELEVANT,U-RQ|SQ1,,Describes the human-agent relationship pattern,"Zou et al. 2026 Sec. 3.3","Relationship labels do not define evidence or governance"
ACL-INT-COLLAB,ACL-INT,ACL-PAPER|ACL-REPO,Interaction Type,Collaboration,HIGHLY RELEVANT,U-RQ|SQ1,,Closest source interaction relation for VEGO-AI,"Zou et al. 2026 Sec. 3.3.1; Dellermann et al. 2019; Bansal et al. 2021","Complementarity remains an empirical outcome not a design assumption"
ACL-INT-SUP,ACL-INT-COLLAB,ACL-PAPER|ACL-REPO,Interaction Type,Supervision,HIGHLY RELEVANT,SQ1,Attention-budget cost/coverage model,Supports monitoring thresholds review and intervention,"Zou et al. 2026 Sec. 3.3.1; Dhanorkar et al. 2026","Supervision presence is not a quality guarantee"
