Old_ID,Old_Draft_Meaning_or_Use,New_IDs,Disposition,Evidence_Status,Notes
F1,"Opening and closing chapter-sequencing discussion","D12-001; F12-002; F12-014",Superseded and split,"Machine-derived; human review pending","The closing instruction controls immediate sequencing."
F2,"No definition is present in any of the three bound drafts",R12-003,Orphaned historic identifier,"Definition unavailable","Do not infer content from the number."
F3,"No definition is present in any of the three bound drafts",R12-003,Orphaned historic identifier,"Definition unavailable","Do not infer content from the number."
F4,"No definition is present in any of the three bound drafts",R12-003,Orphaned historic identifier,"Definition unavailable","Do not infer content from the number."
F5,"AI-assisted literature-section and query drafting request","F12-007; A12-003",Absorbed,"Machine-derived; human review pending","Drafting a query is not executing a search."
F6,"No definition is present in any of the three bound drafts",R12-003,Orphaned historic identifier,"Definition unavailable","Do not infer content from the number."
F7,"No definition is present in any of the three bound drafts",R12-003,Orphaned historic identifier,"Definition unavailable","Do not infer content from the number."
F8,"Medical routes and adjacent student activity","F12-011; F12-012; F12-013",Split,"Machine-derived; human review pending","Reported activity does not pass medical gates."
F9,"Live-drafted Foundations search query","Q12-007; A12-006",Absorbed,"Fragmented machine ASR; human correction needed","No exact Boolean string is canonical."
F10,"Conventional Chapter 2 structure rather than literal RQ mirroring",D12-003,Absorbed,"Machine-derived; human review pending","RQ tags remain an internal mapping."
F11,"Use the survey taxonomy and identify missing themes","A12-002; A12-004",Split,"Machine-derived; human review pending","Bounded corpus only for this tranche."
F12,"Work the papers reachable from the selected ACL corpus","D12-002; A12-002",Absorbed,"Machine-derived; human review pending","Does not prove field exhaustiveness."
F13,"Prepare a derived branch-classification slide","F12-016; A12-005",Absorbed,"Machine-derived; human review pending","Four relevance/missing categories."
F14,"Closing literature-first sequencing instruction","F12-014; D12-001",Absorbed,"Machine-derived; human review pending","Latest explicit instruction wins."
F15,"Meeting-cadence and later conflict statement",F12-017,Absorbed,"Machine-derived; calendar verification pending","Calendar is authoritative."
F16,"Scholarship recommendations and time-sensitive details request","F12-018; A12-007; R12-004",Split,"Machine-derived plus external dependency","Spoken deadline is not authoritative."
F17,"Drive sharing failure and alternate private account","F12-019; A12-008",Absorbed,"Machine-derived plus private chat","Private address omitted."
A0812-01,"Used for Chapter 2 restructuring in one draft and literature-first sequencing in another","A12-003; D12-001; R12-003",Conflicted and split,"Machine-derived; human review pending","Old ID cannot be treated as one stable action."
A0812-02,"Produce a Scholar query per review subsection","F12-007; A12-006",Absorbed,"Machine-derived; human review pending","Query still requires freezing."
A0812-03,"Execute broad QL-01--QL-05 searches","D12-004; R12-007",Superseded for immediate tranche,"Machine-derived; human review pending","Queries remain protocol-ready/deferred, not executed."
A0812-04,"Write the methodology chapter","A12-010; D12-001",Deferred and absorbed,"Machine-derived; human review pending","Resume only after literature progress."
A0812-05,"Repair Arnon Drive sharing",A12-008,Absorbed,"Machine-derived plus private chat","Access test remains required."
A0812-06,"Used for scholarship details in one draft and Foundations-query confirmation in another","A12-007; Q12-007; R12-003",Conflicted and split,"Machine-derived; human review pending","Old ID has two incompatible meanings."
A0812-07,"Used for Clalit attendance in one draft and scholarship details in another","A12-009; A12-007; R12-003",Conflicted and split,"Machine-derived; human review pending","Old ID has two incompatible meanings."
A0812-08,"Confirm the account and repair Drive sharing",A12-008,Absorbed,"Derived-plan only; human review pending","Not present in the historical meeting draft's action table."
A0812-09,"Medical-track and adjacent-activity background",F12-011,Absorbed,"Derived-plan only; human review pending","Informational, not proof of readiness."
A08-01,"Verify and approve exact research-question wording","Q12-001; D12-005",Carried forward,"Not discussed on August 12","Silence is defer."
A08-03,"Legacy per-RQ literature map and workbook tagging",A12-003,Supporting legacy control,"Repository evidence","Keep tags; do not force chapter headings to mirror them."
A08-05,"Legacy Drive-sharing action",A12-008,Carried forward,"Machine-derived plus connector dependency","Requires controlled permission and recipient test."
D-RQ-01,"Umbrella research-question approval","Q12-001; D12-005",Carried forward as open,"Not discussed on August 12","No approval inferred."
D-RQ-02,"Sub-question wording approval","Q12-001; D12-005",Carried forward as open,"Not discussed on August 12","No approval inferred."
E6,"Exploration versus identification/classification terminology",Q12-002,Carried forward as open,"Not discussed on August 12","Requires supervisor disposition."
E8,"Human versus expert terminology",Q12-003,Carried forward as open,"Not discussed on August 12","Requires supervisor disposition."
