Anchor_ID,Work_ID,Title,Primary_URL,Source_Commit,README_Line_Refs,Candidate_Chapter2_Use,Evidence_Level,Identity_Status,Human_Review_Status,Claim_Boundary
C2-KS-01,ACL26-W-648348500982,LLM-Based Human-Agent Collaboration and Interaction Systems: A Survey,https://arxiv.org/abs/2505.00753,7b3ba9deefe99172748582f6025d995ccc2a6f86,README:L180,2.3 taxonomy backbone,Pinned repository title/taxonomy metadata only,Independent verification pending,Pending,Do not attribute a finding or conclusion before full-text review
C2-KS-02,ACL26-W-D9ACE8823B34,Ask or Assume? Uncertainty-Aware Clarification-Seeking in Coding Agents,https://arxiv.org/abs/2603.26233,7b3ba9deefe99172748582f6025d995ccc2a6f86,README:L110; README:L308; README:L495; README:L597; README:L698; README:L800,2.4 clarification candidate,Pinned repository title/taxonomy metadata only,Independent verification pending,Pending,Do not attribute a finding or conclusion before full-text review
C2-KS-03,ACL26-W-59A397CFEBE2,Ask-before-Plan: Proactive Language Agents for Real-World Planning,https://aclanthology.org/2024.findings-emnlp.636/,7b3ba9deefe99172748582f6025d995ccc2a6f86,README:L235; README:L549; README:L652; README:L753; README:L855,2.4 proactive intervention candidate,Pinned repository title/taxonomy metadata only,Independent verification pending,Pending,Do not attribute a finding or conclusion before full-text review
C2-KS-04,ACL26-W-A9CBC0D4C5D5,A Decoupled Human-in-the-Loop System for Controlled Autonomy in Agentic Workflows,https://arxiv.org/abs/2604.23049,7b3ba9deefe99172748582f6025d995ccc2a6f86,README:L100; README:L413; README:L492; README:L594; README:L695; README:L797,2.4 bounded-autonomy candidate,Pinned repository title/taxonomy metadata only,Independent verification pending,Pending,Do not attribute a finding or conclusion before full-text review
C2-KS-05,ACL26-W-3086638BE92A,"Human Oversight of Agentic Systems in Practice: Examining the Oversight Work, Challenges, and Heuristics of Developers Using Software Agents",https://arxiv.org/abs/2606.05391,7b3ba9deefe99172748582f6025d995ccc2a6f86,README:L302; README:L484; README:L586; README:L687; README:L789; README:L82,2.4 oversight-work candidate,Pinned repository title/taxonomy metadata only,Independent verification pending,Pending,Do not attribute a finding or conclusion before full-text review
C2-KS-06,ACL26-W-9467D8B4B48F,Collaborative Gym: A Framework for Enabling and Evaluating Human-Agent Collaboration,https://arxiv.org/abs/2412.15701,7b3ba9deefe99172748582f6025d995ccc2a6f86,README:L208; README:L528; README:L630; README:L731; README:L834,2.6 evaluation candidate,Pinned repository title/taxonomy metadata only,Independent verification pending,Pending,Do not attribute a finding or conclusion before full-text review
C2-KS-07,ACL26-W-BE797B75B0BD,MINT: Evaluating LLMs in Multi-turn Interaction with Tools and Language Feedback,https://arxiv.org/abs/2309.10691,7b3ba9deefe99172748582f6025d995ccc2a6f86,README:L265; README:L318; README:L330; README:L366; README:L555; README:L656; README:L757; README:L859,2.5 feedback-environment candidate,Pinned repository title/taxonomy metadata only,Independent verification pending,Pending,Do not attribute a finding or conclusion before full-text review
C2-KS-08,ACL26-W-3377393DBDBC,Aligning LLM Agents by Learning Latent Preference from User Edits,https://openreview.net/forum?id=DlYNGpCuwa,7b3ba9deefe99172748582f6025d995ccc2a6f86,README:L245,2.5 judgment/preference candidate,Pinned repository title/taxonomy metadata only,Independent verification pending,Pending,Do not attribute a finding or conclusion before full-text review
C2-KS-09,ACL26-W-28C8BBD8854D,Collaborative Memory: Multi-User Memory Sharing in LLM Agents with Dynamic Access Control,https://arxiv.org/abs/2505.18279v1,7b3ba9deefe99172748582f6025d995ccc2a6f86,README:L172,2.5 memory/access-control candidate,Pinned repository title/taxonomy metadata only,Independent verification pending,Pending,Do not attribute a finding or conclusion before full-text review
C2-KS-10,ACL26-W-6B3ADFD39E05,HAS-Bench: Evaluating LLM-Based Human-Agent Systems under Configurable Human Participation,https://arxiv.org/abs/2607.04329,7b3ba9deefe99172748582f6025d995ccc2a6f86,README:L405; README:L478; README:L580; README:L68; README:L680; README:L783,2.6 participation-evaluation candidate,Pinned repository title/taxonomy metadata only,Independent verification pending,Pending,Do not attribute a finding or conclusion before full-text review
C2-KS-11,ACL26-W-FD19E6D06C96,SPHERE: An Evaluation Card for Human-AI Systems,https://arxiv.org/abs/2504.07971,7b3ba9deefe99172748582f6025d995ccc2a6f86,README:L188,2.6 evaluation-card candidate,Pinned repository title/taxonomy metadata only,Independent verification pending,Pending,Do not attribute a finding or conclusion before full-text review
C2-KS-12,ACL26-W-B60BD98A4CFF,AgentDS: Benchmarking the Future of Human-AI Collaboration in Domain-Specific Data Science,https://arxiv.org/abs/2603.19005,7b3ba9deefe99172748582f6025d995ccc2a6f86,README:L116; README:L374; README:L498; README:L600; README:L701; README:L803,2.6 domain-transfer candidate,Pinned repository title/taxonomy metadata only,Independent verification pending,Pending,Do not attribute a finding or conclusion before full-text review
