Work_ID,Title,Year_As_Listed,Venue_Label_As_Listed,Primary_URL,Strong_Identifiers,Source_Commit,Source_Sections,Application_Categories,Taxonomy_Branches,Source_Line_Refs,Occurrence_Count,Taxonomy_Value_Conflict,Feedback_Type,Feedback_Subtype,Feedback_Granularity,Feedback_Phase,Interaction_Types,Interaction_Variant,Orchestration_Strategy,Orchestration_Synchronization,Communication_Structure,Communication_Mode
ACL26-W-060DCE500842,τ2-Bench: Evaluating Conversational Agents in a Dual-Control Environment,2025,arXiv 2025,https://arxiv.org/abs/2506.07982,arxiv:2506.07982,7b3ba9deefe99172748582f6025d995ccc2a6f86,"Applications, Datasets & Benchmarks; Latest Research Papers; Taxonomy","Retail, Telecom; Travel",Communication; Human Feedback; Interaction; Orchestration,README:L165; README:L425; README:L436; README:L517; README:L619; README:L720; README:L822,7,No,"Evaluative, Implicit","Binary Assessment, User Action","Segment, Holistic","Initial Setup, During Task",Collaboration,"Cooperation, Coordination",One-by-One,Synchronous,Decentralized,"Conversation, Observation"
ACL26-W-8250E5C694E6,A Call for Collaborative Intelligence: Why Human-Agent Systems Should Precede AI Autonomy,2025,arXiv 2025,https://arxiv.org/abs/2506.09420,arxiv:2506.09420,7b3ba9deefe99172748582f6025d995ccc2a6f86,Latest Research Papers,,,README:L162,1,No,,,,,,,,,,
ACL26-W-A9CBC0D4C5D5,A Decoupled Human-in-the-Loop System for Controlled Autonomy in Agentic Workflows,2026,arXiv 2026,https://arxiv.org/abs/2604.23049,arxiv:2604.23049,7b3ba9deefe99172748582f6025d995ccc2a6f86,"Applications, Datasets & Benchmarks; Latest Research Papers; Taxonomy","General-Purpose Assistants, Cross-Domain",Communication; Human Feedback; Interaction; Orchestration,README:L100; README:L413; README:L492; README:L594; README:L695; README:L797,6,No,"Evaluative, Corrective, Implicit","Binary Assessment, Refinement, Human Control",Segment,"Initial Setup, During Task",Collaboration,"Supervision, Delegation",One-by-One,Asynchronous,Hierarchical,Conversation
ACL26-W-56ECB566AD26,A Human-Computer Collaborative Tool for Training a Single Large Language Model Agent into a Network through Few Examples,2024,,https://arxiv.org/abs/2404.15974,arxiv:2404.15974,7b3ba9deefe99172748582f6025d995ccc2a6f86,Taxonomy,,Communication; Human Feedback; Interaction; Orchestration,README:L542; README:L643; README:L744; README:L846,4,No,"Corrective, Guidance","Demonstration, Refinement",Segment,During Task,Collaboration,"Delegation, Supervision",One-by-One,Synchronous,Decentralized,Conversation
ACL26-W-0607C3ECC9D0,A2C: A Modular Multi-stage Collaborative Decision Framework for Human-AI Teams,2024,arXiv 2024,https://arxiv.org/abs/2401.14432,arxiv:2401.14432,7b3ba9deefe99172748582f6025d995ccc2a6f86,Latest Research Papers; Taxonomy,,Communication; Human Feedback; Interaction; Orchestration,README:L257; README:L550; README:L651; README:L752; README:L854,5,No,"Guidance, Implicit, Corrective, Evaluative","Refinement, Binary Assessment, Critique, Human Control","Holistic, Segment",During Task,Collaboration,Coordination,One-by-One,Asynchronous,Decentralized,Conversation
ACL26-W-06599C01AC17,ACC-Collab: An Actor-Critic Approach to Multi-Agent LLM Collaboration,2024,ICLR 2025,https://openreview.net/forum?id=nfKfAzkiez,openreview:nfkfazkiez,7b3ba9deefe99172748582f6025d995ccc2a6f86,Latest Research Papers,,,README:L217,1,No,,,,,,,,,,
ACL26-W-F58001D0B0AA,AgentCollabBench: Diagnosing When Good Agents Make Bad Collaborators,2026,arXiv 2026,https://arxiv.org/abs/2605.08647,arxiv:2605.08647,7b3ba9deefe99172748582f6025d995ccc2a6f86,"Applications, Datasets & Benchmarks; Latest Research Papers; Taxonomy","Software Engineering, Coding",Communication; Human Feedback; Interaction; Orchestration,README:L304; README:L490; README:L592; README:L693; README:L795; README:L96,6,No,"Guidance, Evaluative","Critique, Binary Assessment",Segment,"Initial Setup, During Task",Collaboration,Coordination,One-by-One,Synchronous,Decentralized,Message Pool
ACL26-W-0F3A21B93B8C,AgentCoord: Visually Exploring Coordination Strategy for LLM-based Multi-Agent Collaboration,2024,arXiv 2024,https://arxiv.org/abs/2404.11943,arxiv:2404.11943,7b3ba9deefe99172748582f6025d995ccc2a6f86,Latest Research Papers; Taxonomy,,Communication; Human Feedback; Interaction; Orchestration,README:L247; README:L544; README:L644; README:L745; README:L847,5,No,"Guidance, Corrective","Demonstration, Refinement",Segment,Initial Setup,Collaboration,Coordination,One-by-One,Synchronous,Decentralized,Conversation
ACL26-W-B60BD98A4CFF,AgentDS: Benchmarking the Future of Human-AI Collaboration in Domain-Specific Data Science,2026,arXiv 2026,https://arxiv.org/abs/2603.19005,arxiv:2603.19005,7b3ba9deefe99172748582f6025d995ccc2a6f86,"Applications, Datasets & Benchmarks; Latest Research Papers; Taxonomy","Data Science, Scientific Discovery",Communication; Human Feedback; Interaction; Orchestration,README:L116; README:L374; README:L498; README:L600; README:L701; README:L803,6,No,"Guidance, Corrective, Evaluative","Demonstration, Refinement, Scalar Rating","Holistic, Segment","Initial Setup, During Task, Post Task",Collaboration,"Cooperation, Delegation",One-by-One,Asynchronous,Centralized,Conversation
ACL26-W-E55532615993,Ai chains: Transparent and controllable human-ai interaction by chaining large language model prompts,2021,,https://dl.acm.org/doi/abs/10.1145/3491102.3517582,title:ai chains transparent and controllable human ai interaction by chaining large language model prompts,7b3ba9deefe99172748582f6025d995ccc2a6f86,Taxonomy,,Communication; Human Feedback; Interaction; Orchestration,README:L564; README:L666; README:L767; README:L869,4,No,Corrective,Refinement,Segment,During Task,Collaboration,Delegation,One-by-One,Synchronous,Hierarchical,Conversation
ACL26-W-515C64813781,aiXiv: A Next-Generation Open Access Ecosystem for Scientific Discovery Generated by AI Scientists,2025,arXiv 2025,https://arxiv.org/abs/2508.15126,arxiv:2508.15126,7b3ba9deefe99172748582f6025d995ccc2a6f86,Latest Research Papers,,,README:L146,1,No,,,,,,,,,,
ACL26-W-3377393DBDBC,Aligning LLM Agents by Learning Latent Preference from User Edits,2024,NeurIPS 2024,https://openreview.net/forum?id=DlYNGpCuwa,openreview:dlyngpcuwa,7b3ba9deefe99172748582f6025d995ccc2a6f86,Latest Research Papers,,,README:L245,1,No,,,,,,,,,,
ACL26-W-63CEFF1304B3,An LLM-based approach for Enabling Seamless Human-Robot Collaboration in Assembly,2024,,https://www.sciencedirect.com/science/article/pii/S000785062400012X,title:an llm based approach for enabling seamless human robot collaboration in assembly,7b3ba9deefe99172748582f6025d995ccc2a6f86,Taxonomy,,Communication; Human Feedback; Interaction; Orchestration,README:L543; README:L645; README:L746; README:L848,4,No,"Guidance, Corrective","Demonstration, Refinement",Segment,During Task,Collaboration,Delegation,One-by-One,Synchronous,Centralized,Conversation
