Claim_ID,Claim,Claim_HE,Evidence_Class,Evidence_Locator,Verification_State,Permitted_Use,Remaining_Gate
C12-001,"The four Zoom sources are byte-bound and the media duration is 3224.448 seconds.","ארבעת מקורות Zoom קשורים לפי בתים ומשך המדיה הוא 3224.448 שניות.",Direct technical evidence,"2026-08-12-machine-evidence-provenance.md; F12-001",Established,"Provenance and duration statement","None for source integrity; human content review remains separate"
C12-002,"M4A and MP4 audio match at encoded-packet and canonical decoded-PCM levels.","האודיו בקובצי M4A ו-MP4 תואם ברמת המנות המקודדות וברמת PCM מפוענח קנוני.",Direct technical evidence,"2026-08-12-machine-evidence-provenance.md",Established,"Audio-equivalence statement","None for audio equivalence; content review remains separate"
C12-003,"The preserved machine-Hebrew ASR contains 1064 segments and leaves 215 gaps totalling 166.788 seconds.","תמלול העברית המכונתי השמור כולל 1064 מקטעים ומותיר 215 מרווחים באורך כולל של 166.788 שניות.",Direct technical evidence,"2026-08-12-machine-evidence-provenance.md; R12-002",Established,"Machine-inventory statement","Two human reviewers must inspect all segments, gaps, and full media"
C12-004,"Machine-English attempt 02 covers 1064 aligned rows; its wording is not stable or human-verified.","ניסיון 02 של האנגלית המכונתית מכסה 1064 שורות מיושרות; הניסוח אינו יציב ואינו מאומת אנושית.",Direct technical evidence,"2026-08-12-machine-evidence-provenance.md",Established with explicit limitation,"Machine-process statement only","Reviewer A/B plus distinct adjudicator"
C12-005,"The closing literature-first instruction controls the immediate tranche; methodology is deferred.","ההנחיה המסכמת לעבוד תחילה על הספרות שולטת בשלב המיידי; המתודולוגיה נדחית.",Machine-derived meeting interpretation,"F12-002; F12-014; D12-001",Pending human confirmation,"Controlled paraphrase only","Full bilingual review and supervisor disposition"
C12-006,"The immediate literature corpus is the complete pinned ACL survey-taxonomy corpus, not broad QL-01--QL-05 execution.","קורפוס הספרות המיידי הוא מלוא קורפוס הסקר והטקסונומיה המקובע של ACL, ולא ביצוע רחב של QL-01--QL-05.",Machine-derived meeting interpretation plus locked user decision,"F12-015; D12-002; D12-004",Working control,"Planning and bounded execution","Full bilingual review and supervisor disposition"
C12-007,"Exact RQ wording, E6, E8, Plan A/B wording, and the methodology conflict were not dispositioned on August 12.","הנוסח המדויק של שאלות המחקר, E6, E8, ניסוח מסלולי A/B והסתירה המתודולוגית לא הוכרעו ב-12 באוגוסט.",Conservative absence audit,"D12-005; Q12-001--Q12-006",Deferred,"Open-decision statement; never approval","Supervisor disposition"
C12-008,"The official scholarship deadline is August 16, 2026 and exactly two recommendations are required.","המועד הרשמי למלגה הוא 16 באוגוסט 2026 ונדרשות בדיוק שתי המלצות.",External official document,"docs/operations/2026-08-vatat-scholarship-status.md",Verified for written requirements,"Scholarship checklist and draft wording","Eligibility and route clarification remain open"
C12-009,"Arnon's two-page recommendation PDF exists and was validated without editing; Iris's letter remains unverified as present.","קובץ ההמלצה בן שני העמודים של ארנון קיים ונבדק ללא עריכה; קיומו של מכתב איריס טרם אומת.",Local artifact plus Gmail audit,"docs/operations/2026-08-vatat-scholarship-status.md",Partially verified,"Urgent private checklist only","Obtain Iris letter; Ali sends/submits and records receipts"
C12-010,"The pinned ACL repository contains 525 occurrences resolving to 116 unique works.","מאגר ACL המקובע כולל 525 מופעים המתכנסים ל-116 עבודות ייחודיות.",Deterministic repository extraction,"literature/acl2026-human-agent-corpus/source-manifest.json",Established,"Bounded-corpus inventory statement","Identity and human screening remain 0/116"
C12-011,"The filename claim of 139 verified sources is unsupported; the candidate file has 144 rows resolving to 139 normalized-title works with mixed source labels.","הטענה בשם הקובץ על 139 מקורות מאומתים אינה נתמכת; בקובץ המועמד יש 144 שורות המתכנסות ל-139 עבודות לפי כותרת מנורמלת עם תוויות מקור מעורבות.",Hash-bound local-candidate audit,"literature/acl2026-human-agent-corpus/local-candidate-corpus-audit.json",Established with limitation,"Candidate-corpus quality statement","Drive-file binding and row-level identity validation before import"
C12-012,"The native workbook remains canonical but the ACL append is staged offline and no Sheet write occurred.","חוברת העבודה המקורית נשארת קנונית, אך הוספת ACL הוכנה במצב לא מקוון ולא בוצעה כתיבה ל-Sheet.",Connector capture plus deterministic staging,"literature/acl2026-human-agent-corpus/native-append-preflight.json",Established for staging,"Offline staging statement","Ali approval, private binding, table metadata, append, and readback"
C12-013,"The current supervisor package contains exactly ten allowlisted local files and excludes raw media, transcripts, private preparation, and scholarship files.","חבילת המנחים הנוכחית כוללת בדיוק עשרה קבצים מקומיים מורשים ואינה כוללת מדיה גולמית, תמלולים, חומרי הכנה פרטיים או קובצי מלגה.",Package manifest and validator,"2026-08-19-supervisor-package/final/package-manifest.sanitized.json",Ready for Ali review only,"Local package inventory statement","Independent review, Ali approval, Drive permission and recipient tests"
C12-014,"Drive privacy and audience separation currently fail the planned control.","פרטיות Drive והפרדת הקהלים אינן עומדות כעת בבקרה המתוכננת.",Read-only connector audit,"F12-019; A12-008",Verified at audit snapshot; drift-prone,"Block release and request exact approval","Remove link access; Iris and Arnon Commenter; access tests"
C12-015,"EXP-005 remains 0/24 and medical readiness remains 0/6.","EXP-005 נשאר 0/24 והמוכנות הרפואית נשארת 0/6.",Repository evidence gates,"R12-005; R12-006",Established,"Evidence-boundary statement","Human labels and all six medical entry gates"
C12-016,"A closure certificate is not permitted.","אין היתר להנפיק תעודת סגירה.",Derived closure rule,"2026-08-12-human-review-protocol.md; MR12-08",Blocked,"Explicit non-closure statement","All human, supervisor, external, repository, and receipt gates"
