Paper_ID,Title,Identity_Verified,Deduplicated,Title_Abstract_Decision,Full_Text_Decision,Exclusion_Reason,Reviewer,Review_Date,Evidence_or_Link,Notes
ACL26-W-060DCE500842,τ2-Bench: Evaluating Conversational Agents in a Dual-Control Environment,Pending,Yes,Pending,Pending,,,,https://arxiv.org/abs/2506.07982,Repository-level connected-component dedup complete; independent identity verification and human screening not performed
ACL26-W-8250E5C694E6,A Call for Collaborative Intelligence: Why Human-Agent Systems Should Precede AI Autonomy,Pending,Yes,Pending,Pending,,,,https://arxiv.org/abs/2506.09420,Repository-level connected-component dedup complete; independent identity verification and human screening not performed
ACL26-W-A9CBC0D4C5D5,A Decoupled Human-in-the-Loop System for Controlled Autonomy in Agentic Workflows,Pending,Yes,Pending,Pending,,,,https://arxiv.org/abs/2604.23049,Repository-level connected-component dedup complete; independent identity verification and human screening not performed
ACL26-W-56ECB566AD26,A Human-Computer Collaborative Tool for Training a Single Large Language Model Agent into a Network through Few Examples,Pending,Yes,Pending,Pending,,,,https://arxiv.org/abs/2404.15974,Repository-level connected-component dedup complete; independent identity verification and human screening not performed
ACL26-W-0607C3ECC9D0,A2C: A Modular Multi-stage Collaborative Decision Framework for Human-AI Teams,Pending,Yes,Pending,Pending,,,,https://arxiv.org/abs/2401.14432,Repository-level connected-component dedup complete; independent identity verification and human screening not performed
ACL26-W-06599C01AC17,ACC-Collab: An Actor-Critic Approach to Multi-Agent LLM Collaboration,Pending,Yes,Pending,Pending,,,,https://openreview.net/forum?id=nfKfAzkiez,Repository-level connected-component dedup complete; independent identity verification and human screening not performed
ACL26-W-F58001D0B0AA,AgentCollabBench: Diagnosing When Good Agents Make Bad Collaborators,Pending,Yes,Pending,Pending,,,,https://arxiv.org/abs/2605.08647,Repository-level connected-component dedup complete; independent identity verification and human screening not performed
ACL26-W-0F3A21B93B8C,AgentCoord: Visually Exploring Coordination Strategy for LLM-based Multi-Agent Collaboration,Pending,Yes,Pending,Pending,,,,https://arxiv.org/abs/2404.11943,Repository-level connected-component dedup complete; independent identity verification and human screening not performed
ACL26-W-B60BD98A4CFF,AgentDS: Benchmarking the Future of Human-AI Collaboration in Domain-Specific Data Science,Pending,Yes,Pending,Pending,,,,https://arxiv.org/abs/2603.19005,Repository-level connected-component dedup complete; independent identity verification and human screening not performed
ACL26-W-E55532615993,Ai chains: Transparent and controllable human-ai interaction by chaining large language model prompts,Pending,Yes,Pending,Pending,,,,https://dl.acm.org/doi/abs/10.1145/3491102.3517582,Repository-level connected-component dedup complete; independent identity verification and human screening not performed
ACL26-W-515C64813781,aiXiv: A Next-Generation Open Access Ecosystem for Scientific Discovery Generated by AI Scientists,Pending,Yes,Pending,Pending,,,,https://arxiv.org/abs/2508.15126,Repository-level connected-component dedup complete; independent identity verification and human screening not performed
ACL26-W-3377393DBDBC,Aligning LLM Agents by Learning Latent Preference from User Edits,Pending,Yes,Pending,Pending,,,,https://openreview.net/forum?id=DlYNGpCuwa,Repository-level connected-component dedup complete; independent identity verification and human screening not performed
ACL26-W-63CEFF1304B3,An LLM-based approach for Enabling Seamless Human-Robot Collaboration in Assembly,Pending,Yes,Pending,Pending,,,,https://www.sciencedirect.com/science/article/pii/S000785062400012X,Repository-level connected-component dedup complete; independent identity verification and human screening not performed
ACL26-W-50722DD72D20,APIGen-MT: Agentic Pipeline for Multi-Turn Data Generation via Simulated Agent-Human Interplay,Pending,Yes,Pending,Pending,,,,https://arxiv.org/abs/2504.03601,Repository-level connected-component dedup complete; independent identity verification and human screening not performed
ACL26-W-59A397CFEBE2,Ask-before-Plan: Proactive Language Agents for Real-World Planning,Pending,Yes,Pending,Pending,,,,https://aclanthology.org/2024.findings-emnlp.636/,Repository-level connected-component dedup complete; independent identity verification and human screening not performed
ACL26-W-D9ACE8823B34,Ask or Assume? Uncertainty-Aware Clarification-Seeking in Coding Agents,Pending,Yes,Pending,Pending,,,,https://arxiv.org/abs/2603.26233,Repository-level connected-component dedup complete; independent identity verification and human screening not performed
ACL26-W-3CA54311D04A,AssistantX: An LLM-Powered Proactive Assistant in Collaborative Human-Populated Environment,Pending,Yes,Pending,Pending,,,,https://arxiv.org/abs/2409.17655,Repository-level connected-component dedup complete; independent identity verification and human screening not performed
ACL26-W-C0F40871570A,Autonomous Evaluation and Refinement of Digital Agents,Pending,Yes,Pending,Pending,,,,https://arxiv.org/abs/2404.06474,Repository-level connected-component dedup complete; independent identity verification and human screening not performed
ACL26-W-6C04C7D06702,AXIS: Efficient Human-Agent-Computer Interaction with API-First LLM-Based Agents,Pending,Yes,Pending,Pending,,,,https://arxiv.org/abs/2409.17140,Repository-level connected-component dedup complete; independent identity verification and human screening not performed
ACL26-W-AB131396114B,τ-bench: A Benchmark for Tool-Agent-User Interaction in Real-World Domains,Pending,Yes,Pending,Pending,,,,https://openreview.net/forum?id=roNSXZpUDN,Repository-level connected-component dedup complete; independent identity verification and human screening not performed
ACL26-W-906C5B07BE8D,Building Cooperative Embodied Agents Modularly with Large Language Models,Pending,Yes,Pending,Pending,,,,https://arxiv.org/abs/2307.02485,Repository-level connected-component dedup complete; independent identity verification and human screening not performed
ACL26-W-B58A3C4DF2F2,Can Large Language Model Agents Simulate Human Trust Behavior?,Pending,Yes,Pending,Pending,,,,https://arxiv.org/abs/2402.04559,Repository-level connected-component dedup complete; independent identity verification and human screening not performed
ACL26-W-E4BE92A91819,CentaurEval: Benchmarking Human-in-the-Loop Value in Agentic Coding,Pending,Yes,Pending,Pending,,,,https://arxiv.org/abs/2512.04111,Repository-level connected-component dedup complete; independent identity verification and human screening not performed
ACL26-W-3474AE13BD1A,CollabBench: Benchmarking and Unleashing Collaborative Ability of LLMs with Diverse Players via Proactive Engagement,Pending,Yes,Pending,Pending,,,,https://arxiv.org/abs/2606.05793,Repository-level connected-component dedup complete; independent identity verification and human screening not performed
ACL26-W-4D0DB4800AF8,CollabLLM: From Passive Responders to Active Collaborators,Pending,Yes,Pending,Pending,,,,https://openreview.net/forum?id=DmH4HHVb3y,Repository-level connected-component dedup complete; independent identity verification and human screening not performed
ACL26-W-9467D8B4B48F,Collaborative Gym: A Framework for Enabling and Evaluating Human-Agent Collaboration,Pending,Yes,Pending,Pending,,,,https://arxiv.org/abs/2412.15701,Repository-level connected-component dedup complete; independent identity verification and human screening not performed
ACL26-W-28C8BBD8854D,Collaborative Memory: Multi-User Memory Sharing in LLM Agents with Dynamic Access Control,Pending,Yes,Pending,Pending,,,,https://arxiv.org/abs/2505.18279v1,Repository-level connected-component dedup complete; independent identity verification and human screening not performed
ACL26-W-4B3108A0E53F,CollabSkill: Evaluating Human-Agent Collaboration On Real-World Tasks,Pending,Yes,Pending,Pending,,,,https://arxiv.org/abs/2606.09833,Repository-level connected-component dedup complete; independent identity verification and human screening not performed
ACL26-W-3BFB45451A36,ConvCodeWorld: Benchmarking Conversational Code Generation in Reproducible Feedback Environments,Pending,Yes,Pending,Pending,,,,https://arxiv.org/abs/2502.19852,Repository-level connected-component dedup complete; independent identity verification and human screening not performed
ACL26-W-423C8B00B679,CowPilot: A Framework for Autonomous and Human-Agent Collaborative Web Navigation,Pending,Yes,Pending,Pending,,,,https://arxiv.org/abs/2501.16609,Repository-level connected-component dedup complete; independent identity verification and human screening not performed
ACL26-W-35C5DACF7EE6,DigiRL: Training In-The-Wild Device-Control Agents with Autonomous Reinforcement Learning,Pending,Yes,Pending,Pending,,,,https://proceedings.neurips.cc/paper_files/paper/2024/hash/1704ddd0bb89f159dfe609b32c889995-Abstract-Conference.html,Repository-level connected-component dedup complete; independent identity verification and human screening not performed
ACL26-W-70C548CF025A,Drive as You Speak: Enabling Human-Like Interaction with Large Language Models in Autonomous Vehicles,Pending,Yes,Pending,Pending,,,,https://arxiv.org/abs/2309.10228,Repository-level connected-component dedup complete; independent identity verification and human screening not performed
ACL26-W-EBC77D62BDE3,ECHO: Explainable Co-editing with Human-in-the-loop Operations for Presentation Refinement,Pending,Yes,Pending,Pending,,,,https://arxiv.org/abs/2606.09851,Repository-level connected-component dedup complete; independent identity verification and human screening not performed
ACL26-W-C0AD100295F8,Effect of Adaptive Communication Support on LLM-powered Human-Robot Collaboration,Pending,Yes,Pending,Pending,,,,https://arxiv.org/abs/2412.06808,Repository-level connected-component dedup complete; independent identity verification and human screening not performed
ACL26-W-724F6C683E77,Embodied LLM Agents Learn to Cooperate in Organized Teams,Pending,Yes,Pending,Pending,,,,https://arxiv.org/abs/2403.12482,Repository-level connected-component dedup complete; independent identity verification and human screening not performed
