"Gap","Candidate_refuter","Citation","Exact_capability","What_it_matches","What_it_does_not_match","Evidence","Verdict","Effect_on_proposal","Source_verified"
"GAP-1 / SQ1","Multi-expert learning to defer (softmax / OvA surrogates, conformal expert subset)","R. Verma, D. Barrejon, E. Nalisnick, 'Learning to Defer to Multiple Experts: Consistent Surrogate Losses, Confidence Calibration, and Conformal Ensembles', AISTATS 2023, PMLR 206:11415-11434.","Learns, for each of J named experts, an estimate of P(m_j = y | x): the probability that expert j predicts the label correctly FOR THE SPECIFIC INPUT x; defers to a selected expert or expert subset.","Selects among differentiated experts; conditions the selection on the specific instance rather than on a fixed per-expert average; models per-expert competence explicitly; supplies consistency and calibration theory.","No representation of authority, mandate or decision rights; the expert panel is fixed and known in advance; requires per-expert ground-truth outcome labels to fit; the unit is a prediction with one true label, not a contested claim admitting several defensible readings; no attention-budget or selective-risk evaluation of the routing decision itself.","Abstract verified verbatim on the PMLR page: 'we study the frameworks ability to estimate P( m_j = y | x ), the probability that the jth expert will correctly predict the label for x'.","POSSIBLE_REFUTER","Forces correction of the Section 2.6 sentence characterising multi-expert deferral as conditioning on 'an aggregate competence profile over a task distribution'. That characterisation is inaccurate. GAP-1 must be restated as the competence-AND-authority conjunction, conceding instance-conditional competence to this line of work.","YES - PMLR v206 proceedings page (proceedings.mlr.press/v206/verma23a.html); page range matches proposal reference [60] exactly"
"GAP-1 / SQ1","Two-stage learning to defer with multiple experts","A. Mao, C. Mohri, M. Mohri, Y. Zhong, 'Two-Stage Learning to Defer with Multiple Experts', Advances in Neural Information Processing Systems 36, 2023.","Two-stage formulation: a predictor is trained first, then a deferral/routing function selects among multiple experts, with realizable H-consistency guarantees.","Routes to one of several differentiated experts; separates the routing decision from the base predictor, which is architecturally the same separation the proposal proposes for its review policy.","Expert differentiation is by cost and accuracy only; no authority, mandate, scope or eligibility construct; still label-supervised; no per-claim authority test.","Venue, authorship and year confirmed against the NeurIPS 2023 proceedings record (proceedings.neurips.cc, paper hash 0b17d256cf1fe1cc084922a8c6b565b7).","POSSIBLE_REFUTER","Reinforces the same narrowing as Verma et al. The page range 3578-3606 given in reference [61] was not independently confirmed and should be checked against the printed proceedings.","PARTIAL - venue/authors/year verified via NeurIPS proceedings; page range unconfirmed"
"GAP-1 / SQ1","Exact algorithms for learning to defer to a single human","H. Mozannar, H. Lang, D. Wei, P. Sattigeri, S. Das, D. Sontag, 'Who Should Predict? Exact Algorithms for Learning to Defer to Humans', AISTATS 2023, PMLR 206:10520-10545.","Computes provably (near-)optimal joint model-plus-deferral rules for a single human decision maker.","Formalises the who-decides question and characterises the realisable optimum; the strongest available comparator for any routing claim.","One undifferentiated human; no selection among reviewers at all, therefore neither claim-specific competence nor authority.","Cited in the proposal as [37]; venue and volume consistent with the AISTATS 2023 PMLR 206 volume that also contains Verma et al.","PARTIAL_PREDECESSOR","No change required. The proposal already characterises single-expert deferral correctly.","PARTIAL - PMLR v206 volume confirmed; individual page range not separately fetched"
"GAP-1 / SQ1","Workflow resource patterns: capability-based distribution, authorisation, separation of duties","N. Russell, W. M. P. van der Aalst, A. H. M. ter Hofstede, D. Edmond, 'Workflow Resource Patterns: Identification, Representation and Tool Support', CAiSE 2005, LNCS 3520, pp. 216-232, doi:10.1007/11431855_16.","A catalogue of resource patterns for allocating a work item to a participant, including Role-Based Distribution, Capability-Based Distribution, Organisational Distribution, Authorisation, Separation of Duties, Retain Familiar and History-Based Distribution.","The single closest structural match to GAP-1 found anywhere in this audit: ONE framework represents BOTH a capability requirement on the participant AND an authorisation constraint on who may execute that specific work item, evaluated per work item.","Capability is a DECLARED, largely static attribute matched by predicate satisfaction, not a competence ASSESSED from evidence for the specific item; the unit is a process work item with a defined completion criterion, not a contested claim with several defensible readings; the catalogue is a design and expressiveness vocabulary with tool support, not an evaluated routing policy, and reports no accuracy, attention-budget or selective-risk outcome.","Pattern names and the joint capability-plus-authorisation coverage confirmed via the Springer chapter record and the workflowpatterns.com documentation; DOI, pages 216-232 and year 2005 confirmed via Crossref.","POSSIBLE_REFUTER","Materially narrows GAP-1. The proposal cannot claim that no reviewed formulation represents competence and authority together; it must claim that none represents ASSESSED, claim-specific competence together with authority, and that none has been evaluated as a routing policy under a matched attention budget. This paper must be cited.","YES - Crossref DOI 10.1007/11431855_16, pages 216-232, 2005 (note: the Crossref container-title field is corrupted to an unrelated fluid-mechanics series; LNCS 3520 / CAiSE 2005 is the true venue per the Springer record)"
"GAP-1 / SQ1","Authorisation constraints in workflow management systems","E. Bertino, E. Ferrari, V. Atluri, 'The specification and enforcement of authorization constraints in workflow management systems', ACM Transactions on Information and System Security 2(1):65-104, 1999, doi:10.1145/300830.300837.","A logic-based language for specifying, and an algorithm for enforcing, role and user authorisation constraints on individual workflow tasks, including static and dynamic separation of duty and binding of duty.","Authority to act on a specific task is a first-class, formally enforced object, decided per task and per actor - exactly the 'authority to decide this item' half of GAP-1, with an enforcement mechanism.","Contains no competence, skill or accuracy model whatsoever; authorisation is orthogonal to whether the authorised actor is any good at the task; no notion of contested interpretation.","DOI, journal, volume, pages 65-104 and year 1999 confirmed via Crossref.","PARTIAL_PREDECESSOR","Supplies the authority half in mature formal form. GAP-1 must concede that authority modelling is a solved, long-standing problem in this literature, and locate its own contribution in the joint, assessed-competence-conditioned decision.","YES - Crossref"
"GAP-1 / SQ1","Resource assignment languages for business processes (RAL / RALph)","C. Cabanillas et al., 'RALph: A Graphical Notation for Resource Assignments in Business Processes', CAiSE 2015, LNCS, pp. 53-68, doi:10.1007/978-3-319-19069-3_4; and 'RAL: A High-Level User-Oriented Resource Assignment Language for Business Processes', LNBIP, pp. 50-61, doi:10.1007/978-3-642-28108-2_5.","A notation and formal language for expressing which resources may be assigned to an activity, in terms of organisational position, role, capability, and history-based and duty-separation conditions.","Expresses capability requirements and organisational-position (authority-like) requirements in one assignment expression, resolvable against an organisational model.","Assignment conditions are declarative constraints over declared organisational attributes; no assessment of competence for the specific instance; no evaluation as a decision policy against outcomes; the unit is an activity, not a claim.","Both DOIs, page ranges and years confirmed via Crossref.","PARTIAL_PREDECESSOR","Must be cited as part of the conceded competence-plus-authority representation capability of BPM. Strengthens the need to reword GAP-1 around ASSESSED competence.","YES - Crossref (both items)"
"GAP-1 / SQ1","Process-mining-based recommendation of resource allocation","M. Arias, E. Rojas, J. Munoz-Gama, M. Sepulveda, 'A Framework for Recommending Resource Allocation Based on Process Mining', BPM Workshops, LNBIP, pp. 458-470, doi:10.1007/978-3-319-42887-1_37.","Derives resource-allocation recommendations from historical event-log evidence of how resources actually performed on comparable work items.","The nearest thing in BPM to ASSESSED rather than declared competence: the allocation signal is estimated from observed past performance, per activity type.","Competence is estimated at the level of activity type and resource, not for one contested claim; authority is not jointly modelled in the recommendation; no authority-competence separation; recommends rather than governs.","DOI, pages 458-470 and year confirmed via Crossref.","POSSIBLE_REFUTER","Partially closes the 'BPM has no assessed competence' escape route. GAP-1's residual must therefore rest on the JOINT decision, the claim-level unit and budgeted evaluation - not on the absence of assessed competence in BPM.","YES - Crossref"
"GAP-1 / SQ1","Systematic literature study of resource allocation in business process executions","L. Pufahl, F. Stiehle, S. Ihde, M. Weske, I. Weber, 'Resource allocation in business process executions - A systematic literature study', Information Systems, 2025, art. 102541, doi:10.1016/j.is.2025.102541.","Systematic review of 61 primary studies (1995-2023) on system-initiated resource allocation, classifying allocation goals, inputs, criteria and methods.","An authoritative, current map of exactly the literature the proposal names as its likeliest refuter; establishes what that field does and does not do without relying on the candidate's own reading of it.","Reports that reviewed approaches are predominantly rule-based and process-oriented, mostly 1-to-1 allocations, and explicitly calls for future work on evidence-oriented allocation methods with greater adaptability and on comparative benchmarking - that is, the field's own systematic review identifies the absence of evidence-oriented allocation and of comparative evaluation.","Title, authors, journal, year and DOI confirmed via Crossref and OpenAlex; scope (61 primary studies, 1995-2023) and the rule-based / process-oriented / evidence-oriented-future-work findings taken from the abstract via OpenAlex.","SUPPORTING_BACKGROUND","The strongest single piece of evidence that GAP-1 survives as NARROWED rather than refuted: the adjacent literature's own recent systematic review reports that its allocation methods are not evidence-oriented and are not comparatively benchmarked. Must be cited in Section 2.6 in place of the present bare declaration that BPM 'has not been searched'.","YES - Crossref DOI 10.1016/j.is.2025.102541 and OpenAlex"
"GAP-1 / SQ1","Systematic mapping of human resource allocation in BPM and process mining","M. Arias, R. Saavedra, M. R. Marques, J. Munoz-Gama, M. Sepulveda, 'Human resource allocation in business process management and process mining: A systematic mapping study', Management Decision 56(2):376-405, 2018, doi:10.1108/md-05-2017-0476.","Mapping study producing a taxonomy of human-resource allocation criteria over task and resource attributes.","Supplies the established criteria taxonomy against which the proposal's eight declared routing signals should be positioned rather than presented as new.","A mapping study, not an approach; does not itself route or evaluate; no authority-competence separation.","DOI, journal, volume, pages 376-405 and year confirmed via Crossref.","SUPPORTING_BACKGROUND","Study 1's signal set should be crosswalked against this taxonomy so the proposal's signals are shown to be a positioned selection rather than an invention.","YES - Crossref"
"GAP-1 / SQ1","Deadline-based escalation in process-aware information systems","W. M. P. van der Aalst, M. Rosemann, M. Dumas, 'Deadline-based escalation in process-aware information systems', Decision Support Systems 43(2):492-511, 2007, doi:10.1016/j.dss.2006.11.005.","Formalises escalation mechanisms triggered when a work item breaches a deadline, including reassignment to different resources.","Escalation as a governed, specified state transition rather than an ad-hoc handoff - the closest BPM analogue to the proposal's escalation actions.","The trigger is a temporal deadline, not evidence quality, uncertainty, consequence or reviewer fit; target selection is not competence-assessed.","DOI, journal, volume, pages 492-511 and year confirmed via Crossref.","PARTIAL_PREDECESSOR","Cite as the escalation-policy comparator for Study 1's six actions.","YES - Crossref"
